testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:48
aws.m3.large_apply_BernoulliNB_i100000_f20,21.0,0.0,0.0,0.14,2016-09-10 08:53:48
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,75.4,4.0,0.26,2016-09-10 08:53:48
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:48
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:49
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:49
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:49
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:49
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:50
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:50
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:50
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:50
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:51
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:51
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:51
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:51
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:52
aws.m3.large_apply_BernoulliNB_i100000_f20,38.0,0.0,4.0,0.26,2016-09-10 08:53:52
aws.m3.large_apply_BernoulliNB_i100000_f20,52.0,46.9,4.0,0.34,2016-09-10 08:53:52
aws.m3.large_apply_BernoulliNB_i100000_f20,70.0,90.7,4.0,0.51,2016-09-10 08:53:52
aws.m3.large_apply_BernoulliNB_i100000_f20,115.0,102.2,4.0,0.67,2016-09-10 08:53:53
aws.m3.large_apply_BernoulliNB_i100000_f20,110.0,98.7,4.0,0.88,2016-09-10 08:53:53
aws.m3.large_apply_BernoulliNB_i100000_f20,112.0,102.9,4.0,1.13,2016-09-10 08:53:53
aws.m3.large_apply_BernoulliNB_i100000_f20,114.0,94.8,4.0,1.37,2016-09-10 08:53:53
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,27.6,4.0,1.43,2016-09-10 08:53:54
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:54
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:54
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:54
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:55
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:55
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:55
aws.m3.large_apply_BernoulliNB_i100000_f20,84.0,0.0,4.0,1.43,2016-09-10 08:53:55
aws.m3.large_apply_BernoulliNB_i100000_f20,104.0,74.8,4.0,1.58,2016-09-10 08:53:56
aws.m3.large_apply_BernoulliNB_i100000_f20,129.0,98.9,4.0,1.81,2016-09-10 08:53:56
aws.m3.large_apply_BernoulliNB_i100000_f20,131.0,102.9,4.0,2.06,2016-09-10 08:53:56
aws.m3.large_apply_BernoulliNB_i100000_f20,134.0,98.4,4.0,2.31,2016-09-10 08:53:56
aws.m3.large_apply_BernoulliNB_i100000_f20,104.0,23.8,4.0,2.36,2016-09-10 08:53:57
aws.m3.large_apply_BernoulliNB_i100000_f20,104.0,0.0,4.0,2.36,2016-09-10 08:53:57
aws.m3.large_apply_BernoulliNB_i100000_f20,104.0,0.0,4.0,2.36,2016-09-10 08:53:57
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:58
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:58
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:58
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:58
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:59
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:59
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:59
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:53:59
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:54:00
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:54:00
aws.m3.large_apply_BernoulliNB_i100000_f20,0.0,0.0,0.0,0.0,2016-09-10 08:54:00
