testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_Birch_i500000_f50,0.0,0.0,0.0,0.0,2016-09-10 21:05:04
aws.m3.large_apply_Birch_i500000_f50,21.0,0.0,0.0,0.13,2016-09-10 21:05:04
aws.m3.large_apply_Birch_i500000_f50,54.0,95.7,4.0,0.29,2016-09-10 21:05:05
aws.m3.large_apply_Birch_i500000_f50,41.0,63.7,4.0,0.41,2016-09-10 21:05:05
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:05
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:05
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:06
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:06
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:06
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:06
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:07
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:07
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:07
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:07
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:08
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:08
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:08
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:08
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:09
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:09
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:09
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:09
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:10
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:10
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:10
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:10
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:11
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:11
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:11
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:11
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:12
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:12
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:12
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:12
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:13
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:13
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:13
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:13
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:14
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:14
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:14
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:14
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:15
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:15
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:15
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:15
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:16
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:16
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:16
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:16
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:17
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:17
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:17
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:17
aws.m3.large_apply_Birch_i500000_f50,41.0,0.0,4.0,0.41,2016-09-10 21:05:18
aws.m3.large_apply_Birch_i500000_f50,45.0,4.0,4.0,0.41,2016-09-10 21:05:18
aws.m3.large_apply_Birch_i500000_f50,91.0,101.6,4.0,0.61,2016-09-10 21:05:18
aws.m3.large_apply_Birch_i500000_f50,102.0,98.2,4.0,0.82,2016-09-10 21:05:18
aws.m3.large_apply_Birch_i500000_f50,103.0,96.3,4.0,1.07,2016-09-10 21:05:19
aws.m3.large_apply_Birch_i500000_f50,103.0,96.2,4.0,1.32,2016-09-10 21:05:19
aws.m3.large_apply_Birch_i500000_f50,104.0,100.6,4.0,1.58,2016-09-10 21:05:19
aws.m3.large_apply_Birch_i500000_f50,104.0,100.7,4.0,1.83,2016-09-10 21:05:19
aws.m3.large_apply_Birch_i500000_f50,104.0,93.2,4.0,2.07,2016-09-10 21:05:20
aws.m3.large_apply_Birch_i500000_f50,105.0,90.2,4.0,2.3,2016-09-10 21:05:20
aws.m3.large_apply_Birch_i500000_f50,105.0,97.3,4.0,2.55,2016-09-10 21:05:20
aws.m3.large_apply_Birch_i500000_f50,107.0,100.8,4.0,2.81,2016-09-10 21:05:21
aws.m3.large_apply_Birch_i500000_f50,108.0,96.9,4.0,3.06,2016-09-10 21:05:21
aws.m3.large_apply_Birch_i500000_f50,110.0,100.7,4.0,3.32,2016-09-10 21:05:21
aws.m3.large_apply_Birch_i500000_f50,111.0,96.9,4.0,3.57,2016-09-10 21:05:21
aws.m3.large_apply_Birch_i500000_f50,115.0,98.1,4.0,3.77,2016-09-10 21:05:22
aws.m3.large_apply_Birch_i500000_f50,127.0,94.1,4.0,3.99,2016-09-10 21:05:22
aws.m3.large_apply_Birch_i500000_f50,147.0,98.2,4.0,4.21,2016-09-10 21:05:22
aws.m3.large_apply_Birch_i500000_f50,266.0,102.0,4.0,4.31,2016-09-10 21:05:22
aws.m3.large_apply_Birch_i500000_f50,365.0,100.6,8.0,4.47,2016-09-10 21:05:23
aws.m3.large_apply_Birch_i500000_f50,212.0,95.1,8.0,4.66,2016-09-10 21:05:23
aws.m3.large_apply_Birch_i500000_f50,365.0,100.5,8.0,4.77,2016-09-10 21:05:23
aws.m3.large_apply_Birch_i500000_f50,361.0,97.6,8.0,5.02,2016-09-10 21:05:23
aws.m3.large_apply_Birch_i500000_f50,323.0,98.2,8.0,5.1,2016-09-10 21:05:24
aws.m3.large_apply_Birch_i500000_f50,365.0,100.2,8.0,5.32,2016-09-10 21:05:24
aws.m3.large_apply_Birch_i500000_f50,255.0,94.3,8.0,5.47,2016-09-10 21:05:24
aws.m3.large_apply_Birch_i500000_f50,365.0,99.5,8.0,5.61,2016-09-10 21:05:24
aws.m3.large_apply_Birch_i500000_f50,212.0,97.8,8.0,5.82,2016-09-10 21:05:25
aws.m3.large_apply_Birch_i500000_f50,365.0,100.5,8.0,5.93,2016-09-10 21:05:25
aws.m3.large_apply_Birch_i500000_f50,365.0,98.3,8.0,6.18,2016-09-10 21:05:25
aws.m3.large_apply_Birch_i500000_f50,202.0,95.6,8.0,6.31,2016-09-10 21:05:25
aws.m3.large_apply_Birch_i500000_f50,204.0,98.9,8.0,6.56,2016-09-10 21:05:26
aws.m3.large_apply_Birch_i500000_f50,206.0,103.3,8.0,6.81,2016-09-10 21:05:26
aws.m3.large_apply_Birch_i500000_f50,208.0,95.2,8.0,7.05,2016-09-10 21:05:26
aws.m3.large_apply_Birch_i500000_f50,210.0,99.2,8.0,7.3,2016-09-10 21:05:26
aws.m3.large_apply_Birch_i500000_f50,212.0,103.2,8.0,7.55,2016-09-10 21:05:27
aws.m3.large_apply_Birch_i500000_f50,122.0,34.8,8.0,7.61,2016-09-10 21:05:27
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,8.0,7.61,2016-09-10 21:05:27
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,8.0,7.61,2016-09-10 21:05:27
aws.m3.large_apply_Birch_i500000_f50,122.0,4.0,12.0,7.61,2016-09-10 21:05:28
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:28
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:28
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:28
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:29
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:29
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:29
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,12.0,7.61,2016-09-10 21:05:29
aws.m3.large_apply_Birch_i500000_f50,132.0,95.3,12.0,7.83,2016-09-10 21:05:30
aws.m3.large_apply_Birch_i500000_f50,154.0,101.8,12.0,8.06,2016-09-10 21:05:30
aws.m3.large_apply_Birch_i500000_f50,298.0,83.6,12.0,8.15,2016-09-10 21:05:30
aws.m3.large_apply_Birch_i500000_f50,364.0,100.3,12.0,8.33,2016-09-10 21:05:30
aws.m3.large_apply_Birch_i500000_f50,212.0,91.0,12.0,8.51,2016-09-10 21:05:31
aws.m3.large_apply_Birch_i500000_f50,364.0,100.5,12.0,8.63,2016-09-10 21:05:31
aws.m3.large_apply_Birch_i500000_f50,349.0,98.3,12.0,8.88,2016-09-10 21:05:31
aws.m3.large_apply_Birch_i500000_f50,335.0,102.0,12.0,8.97,2016-09-10 21:05:32
aws.m3.large_apply_Birch_i500000_f50,364.0,99.2,12.0,9.19,2016-09-10 21:05:32
aws.m3.large_apply_Birch_i500000_f50,268.0,100.5,12.0,9.33,2016-09-10 21:05:32
aws.m3.large_apply_Birch_i500000_f50,364.0,99.3,12.0,9.5,2016-09-10 21:05:32
aws.m3.large_apply_Birch_i500000_f50,212.0,99.3,12.0,9.7,2016-09-10 21:05:33
aws.m3.large_apply_Birch_i500000_f50,364.0,96.9,16.0,9.81,2016-09-10 21:05:33
aws.m3.large_apply_Birch_i500000_f50,364.0,97.7,16.0,10.06,2016-09-10 21:05:33
aws.m3.large_apply_Birch_i500000_f50,213.0,101.8,16.0,10.27,2016-09-10 21:05:33
aws.m3.large_apply_Birch_i500000_f50,215.0,99.0,16.0,10.52,2016-09-10 21:05:34
aws.m3.large_apply_Birch_i500000_f50,217.0,98.8,16.0,10.76,2016-09-10 21:05:34
aws.m3.large_apply_Birch_i500000_f50,219.0,99.1,16.0,11.01,2016-09-10 21:05:34
aws.m3.large_apply_Birch_i500000_f50,221.0,95.7,16.0,11.25,2016-09-10 21:05:34
aws.m3.large_apply_Birch_i500000_f50,210.0,98.7,16.0,11.49,2016-09-10 21:05:35
aws.m3.large_apply_Birch_i500000_f50,122.0,11.9,16.0,11.49,2016-09-10 21:05:35
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,16.0,11.49,2016-09-10 21:05:35
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,16.0,11.49,2016-09-10 21:05:35
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:36
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:36
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:36
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:36
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:37
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:37
aws.m3.large_apply_Birch_i500000_f50,122.0,0.0,20.0,11.49,2016-09-10 21:05:37
