testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,0.0,0.0,0.0,0.0,2016-09-10 14:49:12
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,21.0,0.0,0.0,0.13,2016-09-10 14:49:12
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,79.2,4.0,0.27,2016-09-10 14:49:13
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:13
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:13
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:13
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:14
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:14
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:14
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:14
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:15
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:15
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:15
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:15
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:16
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:16
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:16
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:16
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:17
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:17
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:17
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:17
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:18
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:18
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:18
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:18
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,38.0,0.0,4.0,0.27,2016-09-10 14:49:19
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,49.0,35.4,4.0,0.34,2016-09-10 14:49:19
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,65.0,98.6,4.0,0.53,2016-09-10 14:49:19
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,84.0,102.9,4.0,0.69,2016-09-10 14:49:19
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,96.0,99.0,4.0,0.93,2016-09-10 14:49:20
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,79.0,4.0,1.11,2016-09-10 14:49:20
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,0.0,4.0,1.11,2016-09-10 14:49:20
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,0.0,4.0,1.11,2016-09-10 14:49:20
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,0.0,4.0,1.11,2016-09-10 14:49:21
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,0.0,4.0,1.11,2016-09-10 14:49:21
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,0.0,4.0,1.11,2016-09-10 14:49:21
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,71.0,0.0,4.0,1.11,2016-09-10 14:49:21
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,87.0,31.9,4.0,1.17,2016-09-10 14:49:22
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,91.0,98.8,4.0,1.38,2016-09-10 14:49:22
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,94.0,102.5,8.0,1.63,2016-09-10 14:49:22
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,27.7,8.0,1.7,2016-09-10 14:49:23
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,1.7,2016-09-10 14:49:23
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,1.7,2016-09-10 14:49:23
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,1.7,2016-09-10 14:49:23
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,1.7,2016-09-10 14:49:24
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,1.7,2016-09-10 14:49:24
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,1.7,2016-09-10 14:49:24
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,96.0,72.5,8.0,1.84,2016-09-10 14:49:24
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,91.0,95.8,8.0,2.07,2016-09-10 14:49:25
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,91.6,8.0,2.29,2016-09-10 14:49:25
aws.m3.large_apply_DecisionTreeClassifier_i200000_f10,74.0,0.0,8.0,2.29,2016-09-10 14:49:25
