testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,0.0,0.0,0.0,0.0,2016-09-09 20:08:15
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,21.0,0.0,0.0,0.15,2016-09-09 20:08:15
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,69.8,4.0,0.28,2016-09-09 20:08:16
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:16
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:16
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:16
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:17
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:17
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:17
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:17
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:18
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:18
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:18
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:18
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:19
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:19
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:19
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:19
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:20
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:20
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:20
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:20
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:21
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:21
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:21
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:21
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:22
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:22
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:22
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:22
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:23
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:23
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:23
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:23
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:24
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:24
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:24
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:24
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:25
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:25
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:25
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:25
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:26
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:26
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:26
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:26
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:27
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:27
aws.m3.large_apply_DecisionTreeRegressor_i2000000_f20,38.0,0.0,4.0,0.28,2016-09-09 20:08:27
