testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_ElasticNet_i200000_f50,0.0,0.0,0.0,0.0,2016-09-09 05:39:10
aws.m3.large_apply_ElasticNet_i200000_f50,21.0,0.0,0.0,0.13,2016-09-09 05:39:10
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,90.6,0.0,0.28,2016-09-09 05:39:11
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:11
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:11
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:11
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:12
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:12
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:12
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:12
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:13
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:13
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:13
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:13
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:14
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:14
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:14
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:14
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:15
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:15
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:15
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:15
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:16
aws.m3.large_apply_ElasticNet_i200000_f50,37.0,0.0,0.0,0.28,2016-09-09 05:39:16
