testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_FieldSelector_i5000000_f10,0.0,0.0,0.0,0.0,2016-09-11 14:12:41
aws.m3.large_apply_FieldSelector_i5000000_f10,21.0,0.0,0.0,0.14,2016-09-11 14:12:41
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,71.5,4.0,0.26,2016-09-11 14:12:41
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:42
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:42
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:42
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:42
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:43
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:43
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:43
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:44
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:44
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:44
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:44
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:45
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:45
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:45
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:45
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:46
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:46
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:46
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:46
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:47
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:47
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:47
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:47
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:48
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:48
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:48
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:48
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:49
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:49
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:49
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:49
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:50
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:50
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:50
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:50
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:51
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:51
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:51
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:51
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:52
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:52
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:52
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:52
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:53
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:53
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:53
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:53
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:54
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:54
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:54
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:54
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:55
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:55
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:55
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:55
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:56
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:56
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:56
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:56
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:57
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:57
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:57
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:57
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:58
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:58
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:58
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:58
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:59
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:59
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:59
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:12:59
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:00
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:00
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:00
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:00
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:01
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:01
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:01
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:01
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:02
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:02
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:02
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:02
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:03
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:03
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:03
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:03
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:04
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:04
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:04
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:04
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:05
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:05
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:05
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:05
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:06
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:06
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:06
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:06
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:07
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:07
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:07
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:07
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:08
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:08
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:08
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:08
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:09
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:09
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:09
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:09
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:10
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:10
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:10
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:10
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:11
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:11
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:11
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:11
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:12
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:12
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:12
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:12
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:13
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:13
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:13
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:13
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:14
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:14
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:14
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:14
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:15
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:15
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:15
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:16
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:16
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:16
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:16
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:17
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:17
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:17
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:17
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:18
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:18
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:18
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:18
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:19
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:19
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:19
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:19
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:20
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:20
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:20
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:20
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:21
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:21
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:21
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:21
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:22
aws.m3.large_apply_FieldSelector_i5000000_f10,38.0,0.0,4.0,0.26,2016-09-11 14:13:22
