testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:24
aws.m3.large_apply_GaussianNB_i100000_f10,21.0,0.0,0.0,0.11,2016-09-10 10:50:25
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,95.2,4.0,0.28,2016-09-10 10:50:25
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:25
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:25
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:26
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:26
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:26
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:26
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:27
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:27
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:27
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:27
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:28
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:28
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:28
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:28
aws.m3.large_apply_GaussianNB_i100000_f10,37.0,0.0,4.0,0.28,2016-09-10 10:50:29
aws.m3.large_apply_GaussianNB_i100000_f10,40.0,4.0,4.0,0.28,2016-09-10 10:50:29
aws.m3.large_apply_GaussianNB_i100000_f10,56.0,94.4,4.0,0.49,2016-09-10 10:50:29
aws.m3.large_apply_GaussianNB_i100000_f10,91.0,97.0,4.0,0.63,2016-09-10 10:50:29
aws.m3.large_apply_GaussianNB_i100000_f10,94.0,91.6,4.0,0.82,2016-09-10 10:50:30
aws.m3.large_apply_GaussianNB_i100000_f10,97.0,96.0,4.0,1.06,2016-09-10 10:50:30
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,31.9,4.0,1.13,2016-09-10 10:50:30
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,0.0,8.0,1.13,2016-09-10 10:50:30
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,0.0,8.0,1.13,2016-09-10 10:50:31
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,0.0,8.0,1.13,2016-09-10 10:50:31
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,0.0,8.0,1.13,2016-09-10 10:50:31
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,0.0,8.0,1.13,2016-09-10 10:50:31
aws.m3.large_apply_GaussianNB_i100000_f10,74.0,0.0,8.0,1.13,2016-09-10 10:50:32
aws.m3.large_apply_GaussianNB_i100000_f10,87.0,43.7,8.0,1.21,2016-09-10 10:50:32
aws.m3.large_apply_GaussianNB_i100000_f10,88.0,102.9,8.0,1.43,2016-09-10 10:50:32
aws.m3.large_apply_GaussianNB_i100000_f10,91.0,98.7,8.0,1.67,2016-09-10 10:50:32
aws.m3.large_apply_GaussianNB_i100000_f10,78.0,19.8,8.0,1.72,2016-09-10 10:50:33
aws.m3.large_apply_GaussianNB_i100000_f10,78.0,0.0,8.0,1.72,2016-09-10 10:50:33
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,26.7,0.0,1.77,2016-09-10 10:50:33
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:34
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:34
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:34
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:34
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:35
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:35
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:35
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:35
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:36
aws.m3.large_apply_GaussianNB_i100000_f10,0.0,0.0,0.0,0.0,2016-09-10 10:50:36
