testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_KMeans_i1000000_f50,0.0,0.0,0.0,0.0,2016-09-10 18:54:30
aws.m3.large_apply_KMeans_i1000000_f50,21.0,0.0,0.0,0.14,2016-09-10 18:54:30
aws.m3.large_apply_KMeans_i1000000_f50,38.0,64.8,4.0,0.28,2016-09-10 18:54:31
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:31
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:31
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:31
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:32
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:32
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:32
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:32
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:33
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:33
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:33
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:33
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:34
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:34
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:34
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:34
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:35
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:35
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:35
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:35
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:36
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:36
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:36
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:36
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:37
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:37
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:37
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:37
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:38
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:38
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:38
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:38
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:39
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:39
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:39
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:39
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:40
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:40
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:40
aws.m3.large_apply_KMeans_i1000000_f50,38.0,0.0,4.0,0.28,2016-09-10 18:54:40
