testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_KernelPCA_i50000_f10,0.0,0.0,0.0,0.0,2016-09-13 17:03:29
aws.m3.large_apply_KernelPCA_i50000_f10,24.0,0.0,0.0,0.17,2016-09-13 17:03:29
aws.m3.large_apply_KernelPCA_i50000_f10,39.0,63.8,4.0,0.28,2016-09-13 17:03:29
aws.m3.large_apply_KernelPCA_i50000_f10,39.0,0.0,4.0,0.28,2016-09-13 17:03:30
aws.m3.large_apply_KernelPCA_i50000_f10,39.0,0.0,4.0,0.28,2016-09-13 17:03:30
aws.m3.large_apply_KernelPCA_i50000_f10,55.0,66.7,4.0,0.41,2016-09-13 17:03:30
aws.m3.large_apply_KernelPCA_i50000_f10,82.0,100.0,4.0,0.59,2016-09-13 17:03:30
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,92.0,4.0,0.73,2016-09-13 17:03:31
aws.m3.large_apply_KernelPCA_i50000_f10,162.0,95.4,4.0,0.89,2016-09-13 17:03:31
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,96.4,4.0,1.07,2016-09-13 17:03:31
aws.m3.large_apply_KernelPCA_i50000_f10,86.0,102.2,8.0,1.22,2016-09-13 17:03:31
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,95.3,8.0,1.43,2016-09-13 17:03:32
aws.m3.large_apply_KernelPCA_i50000_f10,110.0,100.9,8.0,1.55,2016-09-13 17:03:32
aws.m3.large_apply_KernelPCA_i50000_f10,171.0,97.4,8.0,1.73,2016-09-13 17:03:32
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,101.7,8.0,1.89,2016-09-13 17:03:32
aws.m3.large_apply_KernelPCA_i50000_f10,162.0,93.6,8.0,2.05,2016-09-13 17:03:33
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,100.2,8.0,2.24,2016-09-13 17:03:33
aws.m3.large_apply_KernelPCA_i50000_f10,86.0,98.3,8.0,2.38,2016-09-13 17:03:33
aws.m3.large_apply_KernelPCA_i50000_f10,127.0,100.0,8.0,2.59,2016-09-13 17:03:33
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,96.9,8.0,2.68,2016-09-13 17:03:34
aws.m3.large_apply_KernelPCA_i50000_f10,189.0,101.5,8.0,2.86,2016-09-13 17:03:34
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,95.3,8.0,3.03,2016-09-13 17:03:34
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,100.5,8.0,3.19,2016-09-13 17:03:34
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,96.1,8.0,3.38,2016-09-13 17:03:35
aws.m3.large_apply_KernelPCA_i50000_f10,87.0,98.3,8.0,3.53,2016-09-13 17:03:35
aws.m3.large_apply_KernelPCA_i50000_f10,137.0,99.2,8.0,3.73,2016-09-13 17:03:35
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,97.3,8.0,3.85,2016-09-13 17:03:35
aws.m3.large_apply_KernelPCA_i50000_f10,164.0,89.8,8.0,4.03,2016-09-13 17:03:36
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,101.0,8.0,4.18,2016-09-13 17:03:36
aws.m3.large_apply_KernelPCA_i50000_f10,162.0,97.9,8.0,4.34,2016-09-13 17:03:36
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,96.2,12.0,4.53,2016-09-13 17:03:36
aws.m3.large_apply_KernelPCA_i50000_f10,86.0,98.4,12.0,4.67,2016-09-13 17:03:37
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,100.3,12.0,4.88,2016-09-13 17:03:37
aws.m3.large_apply_KernelPCA_i50000_f10,109.0,97.3,12.0,5.0,2016-09-13 17:03:37
aws.m3.large_apply_KernelPCA_i50000_f10,167.0,100.4,12.0,5.18,2016-09-13 17:03:38
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,97.7,12.0,5.33,2016-09-13 17:03:38
aws.m3.large_apply_KernelPCA_i50000_f10,162.0,97.6,12.0,5.49,2016-09-13 17:03:38
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,100.1,12.0,5.68,2016-09-13 17:03:38
aws.m3.large_apply_KernelPCA_i50000_f10,86.0,98.2,12.0,5.81,2016-09-13 17:03:39
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,91.7,12.0,6.01,2016-09-13 17:03:39
aws.m3.large_apply_KernelPCA_i50000_f10,90.0,98.0,12.0,6.15,2016-09-13 17:03:39
aws.m3.large_apply_KernelPCA_i50000_f10,147.0,98.4,12.0,6.34,2016-09-13 17:03:39
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,99.5,12.0,6.48,2016-09-13 17:03:40
aws.m3.large_apply_KernelPCA_i50000_f10,162.0,97.9,12.0,6.65,2016-09-13 17:03:40
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,100.2,12.0,6.83,2016-09-13 17:03:40
aws.m3.large_apply_KernelPCA_i50000_f10,86.0,100.8,12.0,6.97,2016-09-13 17:03:40
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,95.7,12.0,7.18,2016-09-13 17:03:41
aws.m3.large_apply_KernelPCA_i50000_f10,111.0,101.0,12.0,7.3,2016-09-13 17:03:41
aws.m3.large_apply_KernelPCA_i50000_f10,177.0,102.7,12.0,7.5,2016-09-13 17:03:41
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,95.9,16.0,7.68,2016-09-13 17:03:41
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,98.7,16.0,7.83,2016-09-13 17:03:42
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,100.0,16.0,8.03,2016-09-13 17:03:42
aws.m3.large_apply_KernelPCA_i50000_f10,94.0,101.5,16.0,8.18,2016-09-13 17:03:42
aws.m3.large_apply_KernelPCA_i50000_f10,152.0,97.7,16.0,8.37,2016-09-13 17:03:42
aws.m3.large_apply_KernelPCA_i50000_f10,124.0,93.1,16.0,8.49,2016-09-13 17:03:43
aws.m3.large_apply_KernelPCA_i50000_f10,173.0,105.6,16.0,8.66,2016-09-13 17:03:43
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,96.2,16.0,8.84,2016-09-13 17:03:43
aws.m3.large_apply_KernelPCA_i50000_f10,93.0,97.6,16.0,8.98,2016-09-13 17:03:43
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,100.2,16.0,9.19,2016-09-13 17:03:44
aws.m3.large_apply_KernelPCA_i50000_f10,97.0,101.6,16.0,9.33,2016-09-13 17:03:44
aws.m3.large_apply_KernelPCA_i50000_f10,157.0,97.5,16.0,9.52,2016-09-13 17:03:44
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,100.9,16.0,9.67,2016-09-13 17:03:44
aws.m3.large_apply_KernelPCA_i50000_f10,163.0,101.5,16.0,9.84,2016-09-13 17:03:45
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,100.1,16.0,10.03,2016-09-13 17:03:45
aws.m3.large_apply_KernelPCA_i50000_f10,87.0,98.3,16.0,10.17,2016-09-13 17:03:45
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,100.3,16.0,10.38,2016-09-13 17:03:45
aws.m3.large_apply_KernelPCA_i50000_f10,109.0,101.0,16.0,10.5,2016-09-13 17:03:46
aws.m3.large_apply_KernelPCA_i50000_f10,167.0,97.3,16.0,10.69,2016-09-13 17:03:46
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,101.0,16.0,10.84,2016-09-13 17:03:46
aws.m3.large_apply_KernelPCA_i50000_f10,163.0,101.3,20.0,11.01,2016-09-13 17:03:46
aws.m3.large_apply_KernelPCA_i50000_f10,125.0,96.1,20.0,11.19,2016-09-13 17:03:47
aws.m3.large_apply_KernelPCA_i50000_f10,87.0,98.3,20.0,11.33,2016-09-13 17:03:47
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,100.0,20.0,11.54,2016-09-13 17:03:47
aws.m3.large_apply_KernelPCA_i50000_f10,107.0,96.9,20.0,11.66,2016-09-13 17:03:48
aws.m3.large_apply_KernelPCA_i50000_f10,157.0,97.4,20.0,11.86,2016-09-13 17:03:48
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,100.6,20.0,12.0,2016-09-13 17:03:48
aws.m3.large_apply_KernelPCA_i50000_f10,164.0,105.5,20.0,12.18,2016-09-13 17:03:48
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,100.2,20.0,12.37,2016-09-13 17:03:49
aws.m3.large_apply_KernelPCA_i50000_f10,110.0,97.1,20.0,12.52,2016-09-13 17:03:49
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,100.1,20.0,12.72,2016-09-13 17:03:49
aws.m3.large_apply_KernelPCA_i50000_f10,99.0,101.6,20.0,12.85,2016-09-13 17:03:49
aws.m3.large_apply_KernelPCA_i50000_f10,158.0,97.5,24.0,13.04,2016-09-13 17:03:50
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,100.6,24.0,13.18,2016-09-13 17:03:50
aws.m3.large_apply_KernelPCA_i50000_f10,165.0,101.7,24.0,13.35,2016-09-13 17:03:50
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,96.0,24.0,13.54,2016-09-13 17:03:50
aws.m3.large_apply_KernelPCA_i50000_f10,93.0,102.0,24.0,13.68,2016-09-13 17:03:51
aws.m3.large_apply_KernelPCA_i50000_f10,126.0,96.0,24.0,13.88,2016-09-13 17:03:51
aws.m3.large_apply_KernelPCA_i50000_f10,101.0,101.7,24.0,14.02,2016-09-13 17:03:51
aws.m3.large_apply_KernelPCA_i50000_f10,168.0,102.6,24.0,14.21,2016-09-13 17:03:51
aws.m3.large_apply_KernelPCA_i50000_f10,127.0,98.2,24.0,14.39,2016-09-13 17:03:52
aws.m3.large_apply_KernelPCA_i50000_f10,165.0,101.1,24.0,14.55,2016-09-13 17:03:52
aws.m3.large_apply_KernelPCA_i50000_f10,127.0,96.1,24.0,14.73,2016-09-13 17:03:52
aws.m3.large_apply_KernelPCA_i50000_f10,89.0,101.9,24.0,14.88,2016-09-13 17:03:52
aws.m3.large_apply_KernelPCA_i50000_f10,127.0,96.0,24.0,15.08,2016-09-13 17:03:53
aws.m3.large_apply_KernelPCA_i50000_f10,91.0,102.1,24.0,15.21,2016-09-13 17:03:53
aws.m3.large_apply_KernelPCA_i50000_f10,94.0,102.0,24.0,15.46,2016-09-13 17:03:53
aws.m3.large_apply_KernelPCA_i50000_f10,67.0,74.3,24.0,15.64,2016-09-13 17:03:53
aws.m3.large_apply_KernelPCA_i50000_f10,67.0,0.0,24.0,15.64,2016-09-13 17:03:54
aws.m3.large_apply_KernelPCA_i50000_f10,0.0,0.0,0.0,0.0,2016-09-13 17:03:54
