testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_KernelRidge_i500000_f50,0.0,0.0,0.0,0.0,2016-09-09 13:56:08
aws.m3.large_apply_KernelRidge_i500000_f50,18.0,0.0,0.0,0.1,2016-09-09 13:56:08
aws.m3.large_apply_KernelRidge_i500000_f50,37.0,98.2,0.0,0.28,2016-09-09 13:56:08
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,19.8,4.0,0.32,2016-09-09 13:56:08
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:09
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:09
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:09
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:09
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:10
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:10
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:10
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:10
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:11
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:11
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:11
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:11
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:12
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:12
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:12
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:12
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:13
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:13
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:13
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:13
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:14
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:14
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:14
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:14
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:15
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:15
aws.m3.large_apply_KernelRidge_i500000_f50,39.0,0.0,4.0,0.32,2016-09-09 13:56:15
