testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_Lasso_i1000000_f10,0.0,0.0,0.0,0.0,2016-09-09 07:43:53
aws.m3.large_apply_Lasso_i1000000_f10,21.0,0.0,0.0,0.13,2016-09-09 07:43:53
aws.m3.large_apply_Lasso_i1000000_f10,37.0,79.4,4.0,0.27,2016-09-09 07:43:53
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:53
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:54
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:54
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:54
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:54
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:55
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:55
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:55
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:56
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:56
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:56
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:56
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:57
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:57
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:57
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:57
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:58
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:58
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:58
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:58
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:59
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:59
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:59
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:43:59
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:00
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:00
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:00
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:00
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:01
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:01
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:01
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:01
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:02
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:02
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:02
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:02
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:03
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:03
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:03
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:03
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:04
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:04
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:04
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:04
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:05
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:05
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:05
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:05
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:06
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:06
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:06
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:06
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:07
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:07
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:07
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:07
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:08
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:08
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:08
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:08
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:09
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:09
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:09
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:09
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:10
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:10
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:10
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:10
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:11
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:11
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:11
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:11
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:12
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:12
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:12
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:12
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:13
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:13
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:13
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:13
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:14
aws.m3.large_apply_Lasso_i1000000_f10,37.0,0.0,4.0,0.27,2016-09-09 07:44:14
