testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_LinearRegression_i10000000_f10,0.0,0.0,0.0,0.0,2016-09-09 04:33:44
aws.m3.large_apply_LinearRegression_i10000000_f10,21.0,0.0,0.0,0.11,2016-09-09 04:33:45
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,86.9,4.0,0.26,2016-09-09 04:33:45
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:45
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:45
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:46
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:46
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:46
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:46
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:47
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:47
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:47
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:47
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:48
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:48
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:48
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:48
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:49
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:49
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:49
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:49
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:50
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:50
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:50
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:50
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:51
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:51
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:51
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:51
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:52
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:52
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:52
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:52
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:53
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:53
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:53
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:53
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:54
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:54
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:54
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:54
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:55
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:55
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:55
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:55
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:56
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:56
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:56
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:56
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:57
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:57
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:57
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:57
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:58
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:58
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:58
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:58
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:59
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:59
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:59
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:33:59
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:00
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:00
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:00
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:00
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:01
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:01
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:01
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:01
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:02
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:02
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:02
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:02
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:03
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:03
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:03
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:03
aws.m3.large_apply_LinearRegression_i10000000_f10,38.0,0.0,4.0,0.26,2016-09-09 04:34:04
