testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_LogisticRegression_i10000000_f10,0.0,0.0,0.0,0.0,2016-09-10 00:47:39
aws.m3.large_apply_LogisticRegression_i10000000_f10,21.0,0.0,0.0,0.15,2016-09-10 00:47:40
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,82.5,4.0,0.31,2016-09-10 00:47:40
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:40
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:40
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:41
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:41
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:41
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:41
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:42
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:42
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:42
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:42
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:43
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:43
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:43
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:43
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:44
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:44
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:44
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:44
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:45
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:45
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:45
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:45
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:46
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:46
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:46
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:46
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:47
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:47
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:47
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:47
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:48
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:48
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:48
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:48
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:49
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:49
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:49
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:49
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:50
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:50
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:50
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:50
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:51
aws.m3.large_apply_LogisticRegression_i10000000_f10,37.0,0.0,4.0,0.31,2016-09-10 00:47:51
