testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_OneClassSVM_i100000_f50,0.0,0.0,0.0,0.0,2016-09-10 23:43:14
aws.m3.large_apply_OneClassSVM_i100000_f50,21.0,0.0,0.0,0.12,2016-09-10 23:43:14
aws.m3.large_apply_OneClassSVM_i100000_f50,44.0,95.6,4.0,0.3,2016-09-10 23:43:14
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,7.4,4.0,0.31,2016-09-10 23:43:15
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:15
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:15
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:15
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:16
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:16
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:16
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:16
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:17
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:17
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:17
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:17
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:18
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:18
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:18
aws.m3.large_apply_OneClassSVM_i100000_f50,39.0,0.0,4.0,0.31,2016-09-10 23:43:18
aws.m3.large_apply_OneClassSVM_i100000_f50,65.0,90.2,4.0,0.49,2016-09-10 23:43:19
aws.m3.large_apply_OneClassSVM_i100000_f50,91.0,98.5,4.0,0.66,2016-09-10 23:43:19
aws.m3.large_apply_OneClassSVM_i100000_f50,113.0,103.4,4.0,0.88,2016-09-10 23:43:19
aws.m3.large_apply_OneClassSVM_i100000_f50,168.0,98.3,4.0,1.01,2016-09-10 23:43:19
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,93.2,4.0,1.17,2016-09-10 23:43:20
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,4.0,1.42,2016-09-10 23:43:20
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,4.0,1.67,2016-09-10 23:43:20
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.2,4.0,1.92,2016-09-10 23:43:20
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,4.0,2.17,2016-09-10 23:43:21
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.8,4.0,2.42,2016-09-10 23:43:21
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,4.0,2.67,2016-09-10 23:43:21
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,4.0,2.92,2016-09-10 23:43:21
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,4.0,3.17,2016-09-10 23:43:22
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,4.0,3.42,2016-09-10 23:43:22
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,4.0,3.67,2016-09-10 23:43:22
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,95.7,4.0,3.91,2016-09-10 23:43:22
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.4,4.0,4.16,2016-09-10 23:43:23
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,8.0,4.41,2016-09-10 23:43:23
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,8.0,4.66,2016-09-10 23:43:23
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,8.0,4.91,2016-09-10 23:43:23
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.4,8.0,5.16,2016-09-10 23:43:24
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,102.1,8.0,5.42,2016-09-10 23:43:24
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,8.0,5.67,2016-09-10 23:43:24
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,95.6,8.0,5.91,2016-09-10 23:43:24
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,8.0,6.16,2016-09-10 23:43:25
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,95.5,12.0,6.4,2016-09-10 23:43:25
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,6.65,2016-09-10 23:43:25
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,6.9,2016-09-10 23:43:25
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,7.15,2016-09-10 23:43:26
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,7.4,2016-09-10 23:43:26
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,7.65,2016-09-10 23:43:26
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,7.9,2016-09-10 23:43:26
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,100.1,12.0,8.15,2016-09-10 23:43:27
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,96.2,12.0,8.39,2016-09-10 23:43:27
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,8.64,2016-09-10 23:43:27
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,8.89,2016-09-10 23:43:27
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,9.14,2016-09-10 23:43:28
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,9.39,2016-09-10 23:43:28
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,9.64,2016-09-10 23:43:28
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,9.89,2016-09-10 23:43:28
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,10.14,2016-09-10 23:43:29
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,10.39,2016-09-10 23:43:29
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.4,12.0,10.64,2016-09-10 23:43:29
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.3,12.0,10.89,2016-09-10 23:43:29
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,11.14,2016-09-10 23:43:30
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,95.9,12.0,11.38,2016-09-10 23:43:30
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,11.63,2016-09-10 23:43:30
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,11.88,2016-09-10 23:43:30
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,12.13,2016-09-10 23:43:31
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,12.38,2016-09-10 23:43:31
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,12.63,2016-09-10 23:43:31
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,12.88,2016-09-10 23:43:31
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,13.13,2016-09-10 23:43:32
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,13.38,2016-09-10 23:43:32
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,13.63,2016-09-10 23:43:32
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,13.88,2016-09-10 23:43:32
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,14.13,2016-09-10 23:43:33
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,14.38,2016-09-10 23:43:33
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,14.63,2016-09-10 23:43:33
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.4,12.0,14.88,2016-09-10 23:43:33
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,15.13,2016-09-10 23:43:34
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.3,12.0,15.37,2016-09-10 23:43:34
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,15.63,2016-09-10 23:43:34
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,15.88,2016-09-10 23:43:34
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,87.6,12.0,16.1,2016-09-10 23:43:35
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,16.35,2016-09-10 23:43:35
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,16.6,2016-09-10 23:43:35
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,16.85,2016-09-10 23:43:35
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,17.1,2016-09-10 23:43:36
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,103.7,12.0,17.36,2016-09-10 23:43:36
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,95.6,12.0,17.6,2016-09-10 23:43:36
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,100.0,12.0,17.85,2016-09-10 23:43:36
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,18.1,2016-09-10 23:43:37
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,18.35,2016-09-10 23:43:37
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.4,12.0,18.6,2016-09-10 23:43:37
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,18.85,2016-09-10 23:43:37
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,98.3,12.0,19.1,2016-09-10 23:43:38
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,19.35,2016-09-10 23:43:38
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,19.6,2016-09-10 23:43:38
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.3,12.0,19.85,2016-09-10 23:43:38
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,20.1,2016-09-10 23:43:39
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.7,12.0,20.35,2016-09-10 23:43:39
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,20.6,2016-09-10 23:43:39
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,20.85,2016-09-10 23:43:39
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,97.4,12.0,21.11,2016-09-10 23:43:40
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,21.36,2016-09-10 23:43:40
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,21.61,2016-09-10 23:43:40
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.5,12.0,21.86,2016-09-10 23:43:41
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,22.11,2016-09-10 23:43:41
aws.m3.large_apply_OneClassSVM_i100000_f50,177.0,99.6,12.0,22.36,2016-09-10 23:43:41
aws.m3.large_apply_OneClassSVM_i100000_f50,138.0,102.5,12.0,22.55,2016-09-10 23:43:41
aws.m3.large_apply_OneClassSVM_i100000_f50,161.0,98.4,12.0,22.73,2016-09-10 23:43:42
aws.m3.large_apply_OneClassSVM_i100000_f50,162.0,99.0,12.0,22.98,2016-09-10 23:43:42
aws.m3.large_apply_OneClassSVM_i100000_f50,164.0,99.3,12.0,23.23,2016-09-10 23:43:42
aws.m3.large_apply_OneClassSVM_i100000_f50,166.0,102.0,12.0,23.48,2016-09-10 23:43:42
aws.m3.large_apply_OneClassSVM_i100000_f50,168.0,97.8,12.0,23.73,2016-09-10 23:43:43
aws.m3.large_apply_OneClassSVM_i100000_f50,100.0,99.9,12.0,23.96,2016-09-10 23:43:43
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,4.0,12.0,23.96,2016-09-10 23:43:43
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:43
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:44
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:44
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:44
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:44
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:45
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:45
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:45
aws.m3.large_apply_OneClassSVM_i100000_f50,81.0,0.0,12.0,23.96,2016-09-10 23:43:45
aws.m3.large_apply_OneClassSVM_i100000_f50,101.0,55.4,12.0,24.07,2016-09-10 23:43:46
aws.m3.large_apply_OneClassSVM_i100000_f50,127.0,99.3,12.0,24.3,2016-09-10 23:43:46
aws.m3.large_apply_OneClassSVM_i100000_f50,193.0,99.0,12.0,24.49,2016-09-10 23:43:46
