testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_PCA_i5000000_f20,0.0,0.0,0.0,0.0,2016-09-11 06:59:15
aws.m3.large_apply_PCA_i5000000_f20,0.0,0.0,0.0,0.01,2016-09-11 06:59:15
aws.m3.large_apply_PCA_i5000000_f20,5.0,12.1,0.0,0.03,2016-09-11 06:59:16
aws.m3.large_apply_PCA_i5000000_f20,6.0,0.0,0.0,0.03,2016-09-11 06:59:16
aws.m3.large_apply_PCA_i5000000_f20,9.0,7.2,0.0,0.04,2016-09-11 06:59:16
aws.m3.large_apply_PCA_i5000000_f20,11.0,8.5,0.0,0.05,2016-09-11 06:59:16
aws.m3.large_apply_PCA_i5000000_f20,21.0,44.2,0.0,0.15,2016-09-11 06:59:17
aws.m3.large_apply_PCA_i5000000_f20,23.0,20.7,0.0,0.18,2016-09-11 06:59:17
aws.m3.large_apply_PCA_i5000000_f20,36.0,37.8,0.0,0.25,2016-09-11 06:59:17
aws.m3.large_apply_PCA_i5000000_f20,37.0,20.1,4.0,0.28,2016-09-11 06:59:17
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:18
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:18
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:18
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:18
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:19
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:19
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:19
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:19
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:20
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:20
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:20
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:20
aws.m3.large_apply_PCA_i5000000_f20,37.0,0.0,4.0,0.28,2016-09-11 06:59:21
