testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,0.0,0.0,0.0,0.0,2016-09-10 13:01:56
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,21.0,0.0,0.0,0.11,2016-09-10 13:01:57
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,43.0,96.3,4.0,0.29,2016-09-10 13:01:57
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,7.9,4.0,0.3,2016-09-10 13:01:57
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:57
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:58
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:58
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:58
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:58
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:59
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:59
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:59
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:01:59
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:00
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:00
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:00
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:00
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:01
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:01
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:01
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:02
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:02
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:02
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:02
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:03
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:03
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:03
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:03
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:04
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:04
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:04
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:04
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:05
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:05
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:05
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:05
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:06
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:06
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:06
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:06
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:07
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:07
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:07
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:07
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:08
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:08
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:08
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:08
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:09
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:09
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:09
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:09
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:10
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:10
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:10
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:10
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:11
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:11
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:11
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:11
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:12
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:12
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:12
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:12
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:13
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:13
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:13
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:13
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:14
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:14
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:14
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:14
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:15
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:15
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:15
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:15
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:16
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:16
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:16
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:17
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:17
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:17
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:17
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:18
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:18
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:18
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:18
aws.m3.large_apply_RandomForestClassifier_i2000000_f10,39.0,0.0,4.0,0.3,2016-09-10 13:02:19
