testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,0.0,0.0,0.0,0.0,2016-09-09 11:45:55
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,21.0,0.0,0.0,0.14,2016-09-09 11:45:55
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,44.0,97.7,4.0,0.31,2016-09-09 11:45:55
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:56
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:56
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:56
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:56
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:57
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:57
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:57
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:57
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:58
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:58
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:58
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:58
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:59
aws.m3.large_apply_RandomForestRegressor_i1000000_f10,38.0,0.0,4.0,0.31,2016-09-09 11:45:59
