testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:46
aws.m3.large_apply_Ridge_i100000_f20,21.0,0.0,0.0,0.14,2016-09-09 09:38:47
aws.m3.large_apply_Ridge_i100000_f20,37.0,71.9,4.0,0.27,2016-09-09 09:38:47
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:47
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:47
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:48
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:48
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:48
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:48
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:49
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:49
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:49
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:49
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:50
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:50
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:50
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:50
aws.m3.large_apply_Ridge_i100000_f20,37.0,0.0,4.0,0.27,2016-09-09 09:38:51
aws.m3.large_apply_Ridge_i100000_f20,55.0,63.0,4.0,0.38,2016-09-09 09:38:51
aws.m3.large_apply_Ridge_i100000_f20,80.0,103.5,4.0,0.57,2016-09-09 09:38:51
aws.m3.large_apply_Ridge_i100000_f20,115.0,98.4,4.0,0.74,2016-09-09 09:38:51
aws.m3.large_apply_Ridge_i100000_f20,110.0,95.1,4.0,0.95,2016-09-09 09:38:52
aws.m3.large_apply_Ridge_i100000_f20,113.0,98.9,4.0,1.2,2016-09-09 09:38:52
aws.m3.large_apply_Ridge_i100000_f20,116.0,103.1,4.0,1.45,2016-09-09 09:38:52
aws.m3.large_apply_Ridge_i100000_f20,85.0,11.9,4.0,1.47,2016-09-09 09:38:52
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:53
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:53
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:53
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:53
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:54
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:54
aws.m3.large_apply_Ridge_i100000_f20,85.0,0.0,4.0,1.47,2016-09-09 09:38:54
aws.m3.large_apply_Ridge_i100000_f20,112.0,85.3,4.0,1.65,2016-09-09 09:38:54
aws.m3.large_apply_Ridge_i100000_f20,114.0,95.1,4.0,1.87,2016-09-09 09:38:55
aws.m3.large_apply_Ridge_i100000_f20,116.0,99.1,4.0,2.12,2016-09-09 09:38:55
aws.m3.large_apply_Ridge_i100000_f20,119.0,102.9,4.0,2.37,2016-09-09 09:38:55
aws.m3.large_apply_Ridge_i100000_f20,96.0,23.8,4.0,2.42,2016-09-09 09:38:56
aws.m3.large_apply_Ridge_i100000_f20,96.0,0.0,4.0,2.42,2016-09-09 09:38:56
aws.m3.large_apply_Ridge_i100000_f20,96.0,0.0,4.0,2.42,2016-09-09 09:38:56
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:56
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:57
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:57
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:57
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:57
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:58
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:58
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:58
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:58
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:59
aws.m3.large_apply_Ridge_i100000_f20,0.0,0.0,0.0,0.0,2016-09-09 09:38:59
