testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_SGDClassifier_i5000000_f50,0.0,0.0,0.0,0.0,2016-09-10 17:28:36
aws.m3.large_apply_SGDClassifier_i5000000_f50,21.0,0.0,0.0,0.13,2016-09-10 17:28:37
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,86.9,4.0,0.29,2016-09-10 17:28:37
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:37
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:37
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:38
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:38
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:38
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:38
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:39
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:39
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:39
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:39
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:40
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:40
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:40
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:40
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:41
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:41
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:41
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:41
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:42
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:42
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:42
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:42
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:43
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:43
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:43
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:43
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:44
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:44
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:44
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:44
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:45
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:45
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:45
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:45
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:46
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:46
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:46
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:46
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:47
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:47
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:47
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:47
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:48
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:48
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:48
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:48
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:49
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:49
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:49
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:49
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:50
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:50
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:50
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:50
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:51
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:51
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:51
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:51
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:52
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:52
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:52
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:52
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:53
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:53
aws.m3.large_apply_SGDClassifier_i5000000_f50,38.0,0.0,4.0,0.29,2016-09-10 17:28:53
