testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_SGDRegressor_i10000000_f10,0.0,0.0,0.0,0.0,2016-09-09 22:48:11
aws.m3.large_apply_SGDRegressor_i10000000_f10,21.0,0.0,0.0,0.14,2016-09-09 22:48:12
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,79.5,4.0,0.28,2016-09-09 22:48:12
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:12
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:12
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:13
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:13
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:13
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:13
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:14
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:14
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:14
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:14
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:15
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:15
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:15
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:15
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:16
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:16
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:16
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:16
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:17
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:17
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:17
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:17
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:18
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:18
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:18
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:18
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:19
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:19
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:19
aws.m3.large_apply_SGDRegressor_i10000000_f10,37.0,0.0,4.0,0.28,2016-09-09 22:48:19
