testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_StandardScaler_i100000_f50,0.0,0.0,0.0,0.0,2016-09-11 09:26:20
aws.m3.large_apply_StandardScaler_i100000_f50,21.0,0.0,0.0,0.13,2016-09-11 09:26:20
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,75.7,4.0,0.27,2016-09-11 09:26:20
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:21
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:21
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:21
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:21
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:22
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:22
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:22
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:22
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:23
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:23
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:23
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:23
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:24
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:24
aws.m3.large_apply_StandardScaler_i100000_f50,38.0,0.0,4.0,0.27,2016-09-11 09:26:24
aws.m3.large_apply_StandardScaler_i100000_f50,47.0,11.9,4.0,0.28,2016-09-11 09:26:24
