testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_apply_TFIDF_i50000_f50,0.0,0.0,0.0,0.0,2016-09-11 12:20:17
aws.m3.large_apply_TFIDF_i50000_f50,21.0,0.0,0.0,0.14,2016-09-11 12:20:17
aws.m3.large_apply_TFIDF_i50000_f50,38.0,78.9,4.0,0.28,2016-09-11 12:20:17
aws.m3.large_apply_TFIDF_i50000_f50,53.0,74.6,4.0,0.42,2016-09-11 12:20:18
aws.m3.large_apply_TFIDF_i50000_f50,69.0,96.7,8.0,0.61,2016-09-11 12:20:18
aws.m3.large_apply_TFIDF_i50000_f50,69.0,100.2,8.0,0.87,2016-09-11 12:20:18
aws.m3.large_apply_TFIDF_i50000_f50,69.0,100.3,8.0,1.13,2016-09-11 12:20:18
aws.m3.large_apply_TFIDF_i50000_f50,69.0,96.3,8.0,1.38,2016-09-11 12:20:19
aws.m3.large_apply_TFIDF_i50000_f50,69.0,100.1,8.0,1.64,2016-09-11 12:20:19
aws.m3.large_apply_TFIDF_i50000_f50,95.0,101.8,8.0,1.73,2016-09-11 12:20:19
aws.m3.large_apply_TFIDF_i50000_f50,115.0,98.7,8.0,1.94,2016-09-11 12:20:19
aws.m3.large_apply_TFIDF_i50000_f50,119.0,99.0,8.0,2.18,2016-09-11 12:20:20
aws.m3.large_apply_TFIDF_i50000_f50,123.0,98.8,8.0,2.43,2016-09-11 12:20:20
aws.m3.large_apply_TFIDF_i50000_f50,126.0,103.0,8.0,2.68,2016-09-11 12:20:20
aws.m3.large_apply_TFIDF_i50000_f50,124.0,63.2,8.0,2.82,2016-09-11 12:20:21
aws.m3.large_apply_TFIDF_i50000_f50,124.0,0.0,8.0,2.82,2016-09-11 12:20:21
aws.m3.large_apply_TFIDF_i50000_f50,124.0,0.0,8.0,2.82,2016-09-11 12:20:21
aws.m3.large_apply_TFIDF_i50000_f50,124.0,0.0,8.0,2.82,2016-09-11 12:20:21
aws.m3.large_apply_TFIDF_i50000_f50,124.0,0.0,8.0,2.82,2016-09-11 12:20:22
aws.m3.large_apply_TFIDF_i50000_f50,0.0,26.8,0.0,2.87,2016-09-11 12:20:22
aws.m3.large_apply_TFIDF_i50000_f50,0.0,0.0,0.0,0.0,2016-09-11 12:20:22
