testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_BernoulliNB_i1000000_f10,0.0,0.0,0.0,0.0,2016-09-08 19:51:13
aws.m3.large_fit_BernoulliNB_i1000000_f10,21.0,0.0,0.0,0.15,2016-09-08 19:51:13
aws.m3.large_fit_BernoulliNB_i1000000_f10,43.0,98.5,0.0,0.32,2016-09-08 19:51:13
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,102.0,4.0,0.52,2016-09-08 19:51:13
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:14
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:14
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:14
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:14
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:15
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:15
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:15
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:15
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:16
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:16
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:16
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:16
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:17
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:17
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:17
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:17
aws.m3.large_fit_BernoulliNB_i1000000_f10,61.0,0.0,4.0,0.52,2016-09-08 19:51:18
