testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_Birch_i2000_f10,0.0,0.0,0.0,0.0,2016-09-08 21:35:41
aws.m3.large_fit_Birch_i2000_f10,21.0,0.0,0.0,0.14,2016-09-08 21:35:41
aws.m3.large_fit_Birch_i2000_f10,41.0,90.7,4.0,0.29,2016-09-08 21:35:42
aws.m3.large_fit_Birch_i2000_f10,57.0,98.1,4.0,0.5,2016-09-08 21:35:42
aws.m3.large_fit_Birch_i2000_f10,71.0,89.1,8.0,0.67,2016-09-08 21:35:42
aws.m3.large_fit_Birch_i2000_f10,102.0,100.4,8.0,0.88,2016-09-08 21:35:42
aws.m3.large_fit_Birch_i2000_f10,102.0,96.1,8.0,1.12,2016-09-08 21:35:43
aws.m3.large_fit_Birch_i2000_f10,102.0,101.0,8.0,1.37,2016-09-08 21:35:43
aws.m3.large_fit_Birch_i2000_f10,102.0,97.4,8.0,1.66,2016-09-08 21:35:43
aws.m3.large_fit_Birch_i2000_f10,102.0,96.8,8.0,1.9,2016-09-08 21:35:43
aws.m3.large_fit_Birch_i2000_f10,102.0,97.0,8.0,2.14,2016-09-08 21:35:44
aws.m3.large_fit_Birch_i2000_f10,102.0,98.7,8.0,2.39,2016-09-08 21:35:44
aws.m3.large_fit_Birch_i2000_f10,102.0,96.7,8.0,2.63,2016-09-08 21:35:44
aws.m3.large_fit_Birch_i2000_f10,102.0,100.3,8.0,2.88,2016-09-08 21:35:44
aws.m3.large_fit_Birch_i2000_f10,102.0,96.6,8.0,3.12,2016-09-08 21:35:45
aws.m3.large_fit_Birch_i2000_f10,105.0,97.8,8.0,3.26,2016-09-08 21:35:45
aws.m3.large_fit_Birch_i2000_f10,107.0,100.5,8.0,3.52,2016-09-08 21:35:45
aws.m3.large_fit_Birch_i2000_f10,108.0,97.1,8.0,3.78,2016-09-08 21:35:46
aws.m3.large_fit_Birch_i2000_f10,109.0,100.7,8.0,4.03,2016-09-08 21:35:46
aws.m3.large_fit_Birch_i2000_f10,109.0,100.4,8.0,4.29,2016-09-08 21:35:46
aws.m3.large_fit_Birch_i2000_f10,110.0,96.5,8.0,4.54,2016-09-08 21:35:46
aws.m3.large_fit_Birch_i2000_f10,111.0,100.1,8.0,4.8,2016-09-08 21:35:47
aws.m3.large_fit_Birch_i2000_f10,112.0,100.4,8.0,5.06,2016-09-08 21:35:47
aws.m3.large_fit_Birch_i2000_f10,113.0,95.9,8.0,5.31,2016-09-08 21:35:47
aws.m3.large_fit_Birch_i2000_f10,107.0,49.8,4620.0,5.4,2016-09-08 21:35:47
