testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_DBSCAN_i20000_f10,0.0,0.0,0.0,0.0,2016-09-08 21:50:21
aws.m3.large_fit_DBSCAN_i20000_f10,21.0,0.0,0.0,0.15,2016-09-08 21:50:21
aws.m3.large_fit_DBSCAN_i20000_f10,42.0,98.9,4.0,0.32,2016-09-08 21:50:22
aws.m3.large_fit_DBSCAN_i20000_f10,55.0,86.9,4.0,0.51,2016-09-08 21:50:22
aws.m3.large_fit_DBSCAN_i20000_f10,61.0,16.0,4.0,0.54,2016-09-08 21:50:22
aws.m3.large_fit_DBSCAN_i20000_f10,89.0,72.3,4.0,0.66,2016-09-08 21:50:22
aws.m3.large_fit_DBSCAN_i20000_f10,140.0,93.2,4.0,0.8,2016-09-08 21:50:23
aws.m3.large_fit_DBSCAN_i20000_f10,141.0,100.0,4.0,1.05,2016-09-08 21:50:23
aws.m3.large_fit_DBSCAN_i20000_f10,146.0,96.7,4.0,1.29,2016-09-08 21:50:23
aws.m3.large_fit_DBSCAN_i20000_f10,148.0,100.0,4.0,1.54,2016-09-08 21:50:23
aws.m3.large_fit_DBSCAN_i20000_f10,103.0,55.6,8.0,1.66,2016-09-08 21:50:24
aws.m3.large_fit_DBSCAN_i20000_f10,103.0,0.0,8.0,1.66,2016-09-08 21:50:24
aws.m3.large_fit_DBSCAN_i20000_f10,103.0,0.0,8.0,1.66,2016-09-08 21:50:24
aws.m3.large_fit_DBSCAN_i20000_f10,103.0,0.0,8.0,1.66,2016-09-08 21:50:24
