testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,0.0,0.0,0.0,0.0,2016-09-08 20:41:48
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,21.0,0.0,0.0,0.14,2016-09-08 20:41:48
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,42.0,81.5,4.0,0.33,2016-09-08 20:41:49
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,60.0,98.0,4.0,0.52,2016-09-08 20:41:49
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,4.0,8.0,0.53,2016-09-08 20:41:49
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:49
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:50
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:50
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:50
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:50
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:51
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:51
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:51
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:51
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:52
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:52
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:52
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:52
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:53
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:53
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:53
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:53
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:54
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:54
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:54
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:54
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:55
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:55
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:55
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:55
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:56
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:56
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:56
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:56
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:57
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:57
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:57
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:57
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:58
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:58
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:58
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:58
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:59
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:59
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:59
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:41:59
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:00
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:00
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:00
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:00
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:01
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:01
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:01
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:01
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:02
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:02
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:02
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:02
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:03
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:03
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:03
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:03
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:04
aws.m3.large_fit_DecisionTreeClassifier_i1000000_f20,61.0,0.0,8.0,0.53,2016-09-08 20:42:04
