testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,0.0,0.0,0.0,0.0,2016-09-08 18:48:29
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,21.0,0.0,0.0,0.14,2016-09-08 18:48:29
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,41.0,98.4,0.0,0.31,2016-09-08 18:48:29
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,54.0,86.0,0.0,0.49,2016-09-08 18:48:30
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,23.9,4.0,0.53,2016-09-08 18:48:30
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:30
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:31
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:31
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:31
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:31
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:32
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:32
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:32
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:32
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:33
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:33
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:33
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:33
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:34
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,61.0,0.0,4.0,0.53,2016-09-08 18:48:34
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,90.0,51.8,4.0,0.6,2016-09-08 18:48:34
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,117.0,101.1,4.0,0.82,2016-09-08 18:48:34
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,115.0,59.7,8.0,0.9,2016-09-08 18:48:35
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,115.0,0.0,8.0,0.9,2016-09-08 18:48:35
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,115.0,0.0,8.0,0.9,2016-09-08 18:48:35
aws.m3.large_fit_DecisionTreeRegressor_i100000_f50,115.0,0.0,8.0,0.9,2016-09-08 18:48:35
