testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_ElasticNet_i20000_f20,0.0,0.0,0.0,0.0,2016-09-08 17:23:37
aws.m3.large_fit_ElasticNet_i20000_f20,21.0,0.0,0.0,0.15,2016-09-08 17:23:37
aws.m3.large_fit_ElasticNet_i20000_f20,42.0,79.8,4.0,0.32,2016-09-08 17:23:38
aws.m3.large_fit_ElasticNet_i20000_f20,59.0,99.1,4.0,0.51,2016-09-08 17:23:38
aws.m3.large_fit_ElasticNet_i20000_f20,61.0,4.0,8.0,0.52,2016-09-08 17:23:38
aws.m3.large_fit_ElasticNet_i20000_f20,94.0,92.1,8.0,0.68,2016-09-08 17:23:38
aws.m3.large_fit_ElasticNet_i20000_f20,140.0,96.6,8.0,0.84,2016-09-08 17:23:39
aws.m3.large_fit_ElasticNet_i20000_f20,140.0,96.2,8.0,1.09,2016-09-08 17:23:39
aws.m3.large_fit_ElasticNet_i20000_f20,140.0,96.3,8.0,1.34,2016-09-08 17:23:39
aws.m3.large_fit_ElasticNet_i20000_f20,140.0,100.2,8.0,1.6,2016-09-08 17:23:39
aws.m3.large_fit_ElasticNet_i20000_f20,150.0,95.8,8.0,1.83,2016-09-08 17:23:40
aws.m3.large_fit_ElasticNet_i20000_f20,152.0,102.3,8.0,2.08,2016-09-08 17:23:40
aws.m3.large_fit_ElasticNet_i20000_f20,148.0,95.6,12.0,2.31,2016-09-08 17:23:40
aws.m3.large_fit_ElasticNet_i20000_f20,128.0,16.0,16.0,2.31,2016-09-08 17:23:40
aws.m3.large_fit_ElasticNet_i20000_f20,128.0,0.0,16.0,2.31,2016-09-08 17:23:41
aws.m3.large_fit_ElasticNet_i20000_f20,128.0,0.0,16.0,2.31,2016-09-08 17:23:41
aws.m3.large_fit_ElasticNet_i20000_f20,128.0,0.0,16.0,2.31,2016-09-08 17:23:41
aws.m3.large_fit_ElasticNet_i20000_f20,0.0,0.0,0.0,0.0,2016-09-08 17:23:41
