testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_FieldSelector_i500000_f10,0.0,0.0,0.0,0.0,2016-09-09 03:22:10
aws.m3.large_fit_FieldSelector_i500000_f10,21.0,0.0,0.0,0.13,2016-09-09 03:22:10
aws.m3.large_fit_FieldSelector_i500000_f10,41.0,86.7,0.0,0.31,2016-09-09 03:22:11
aws.m3.large_fit_FieldSelector_i500000_f10,58.0,101.7,0.0,0.51,2016-09-09 03:22:11
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,7.9,4.0,0.52,2016-09-09 03:22:11
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:11
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:12
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:12
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:12
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:12
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:13
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:13
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:13
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:13
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:14
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:14
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:14
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:14
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:15
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:15
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:15
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:15
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:16
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:16
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:16
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:16
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:17
aws.m3.large_fit_FieldSelector_i500000_f10,61.0,0.0,4.0,0.52,2016-09-09 03:22:17
