testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_GaussianNB_i50000_f10,0.0,0.0,0.0,0.0,2016-09-08 20:03:50
aws.m3.large_fit_GaussianNB_i50000_f10,21.0,0.0,0.0,0.15,2016-09-08 20:03:50
aws.m3.large_fit_GaussianNB_i50000_f10,37.0,83.3,4.0,0.3,2016-09-08 20:03:51
aws.m3.large_fit_GaussianNB_i50000_f10,53.0,98.7,4.0,0.5,2016-09-08 20:03:51
aws.m3.large_fit_GaussianNB_i50000_f10,61.0,28.0,8.0,0.54,2016-09-08 20:03:51
aws.m3.large_fit_GaussianNB_i50000_f10,61.0,0.0,8.0,0.54,2016-09-08 20:03:51
aws.m3.large_fit_GaussianNB_i50000_f10,64.0,0.0,8.0,0.54,2016-09-08 20:03:52
aws.m3.large_fit_GaussianNB_i50000_f10,103.0,96.3,8.0,0.72,2016-09-08 20:03:52
aws.m3.large_fit_GaussianNB_i50000_f10,132.0,98.2,8.0,0.92,2016-09-08 20:03:52
aws.m3.large_fit_GaussianNB_i50000_f10,218.0,98.7,8.0,1.01,2016-09-08 20:03:53
aws.m3.large_fit_GaussianNB_i50000_f10,272.0,98.2,8.0,1.21,2016-09-08 20:03:53
aws.m3.large_fit_GaussianNB_i50000_f10,274.0,99.9,8.0,1.45,2016-09-08 20:03:53
aws.m3.large_fit_GaussianNB_i50000_f10,276.0,96.0,8.0,1.69,2016-09-08 20:03:53
aws.m3.large_fit_GaussianNB_i50000_f10,278.0,98.4,8.0,1.94,2016-09-08 20:03:54
aws.m3.large_fit_GaussianNB_i50000_f10,279.0,100.1,8.0,2.18,2016-09-08 20:03:54
aws.m3.large_fit_GaussianNB_i50000_f10,281.0,96.1,8.0,2.42,2016-09-08 20:03:54
aws.m3.large_fit_GaussianNB_i50000_f10,283.0,100.0,8.0,2.67,2016-09-08 20:03:54
aws.m3.large_fit_GaussianNB_i50000_f10,274.0,96.1,16.0,2.83,2016-09-08 20:03:55
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,12.0,20.0,2.84,2016-09-08 20:03:55
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:55
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:55
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:56
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:56
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:56
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:56
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:57
aws.m3.large_fit_GaussianNB_i50000_f10,222.0,0.0,20.0,2.84,2016-09-08 20:03:57
aws.m3.large_fit_GaussianNB_i50000_f10,103.0,38.1,24.0,2.88,2016-09-08 20:03:57
