testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_KMeans_i20000_f50,0.0,0.0,0.0,0.0,2016-09-08 21:28:55
aws.m3.large_fit_KMeans_i20000_f50,21.0,0.0,0.0,0.13,2016-09-08 21:28:55
aws.m3.large_fit_KMeans_i20000_f50,43.0,98.1,4.0,0.3,2016-09-08 21:28:55
aws.m3.large_fit_KMeans_i20000_f50,60.0,95.0,4.0,0.48,2016-09-08 21:28:56
aws.m3.large_fit_KMeans_i20000_f50,61.0,4.0,8.0,0.49,2016-09-08 21:28:56
aws.m3.large_fit_KMeans_i20000_f50,92.0,80.2,8.0,0.62,2016-09-08 21:28:56
aws.m3.large_fit_KMeans_i20000_f50,147.0,91.6,8.0,0.73,2016-09-08 21:28:56
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.4,8.0,0.96,2016-09-08 21:28:57
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.9,8.0,1.21,2016-09-08 21:28:57
aws.m3.large_fit_KMeans_i20000_f50,163.0,95.7,8.0,1.45,2016-09-08 21:28:57
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.8,8.0,1.7,2016-09-08 21:28:57
aws.m3.large_fit_KMeans_i20000_f50,163.0,95.9,8.0,1.94,2016-09-08 21:28:58
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.4,8.0,2.19,2016-09-08 21:28:58
aws.m3.large_fit_KMeans_i20000_f50,163.0,95.0,8.0,2.43,2016-09-08 21:28:58
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.5,8.0,2.68,2016-09-08 21:28:58
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.6,8.0,2.93,2016-09-08 21:28:59
aws.m3.large_fit_KMeans_i20000_f50,163.0,95.6,8.0,3.17,2016-09-08 21:28:59
aws.m3.large_fit_KMeans_i20000_f50,163.0,95.8,8.0,3.41,2016-09-08 21:28:59
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.4,8.0,3.66,2016-09-08 21:28:59
aws.m3.large_fit_KMeans_i20000_f50,163.0,99.8,8.0,3.91,2016-09-08 21:29:00
aws.m3.large_fit_KMeans_i20000_f50,163.0,95.8,8.0,4.15,2016-09-08 21:29:00
aws.m3.large_fit_KMeans_i20000_f50,163.0,98.9,8.0,4.4,2016-09-08 21:29:00
aws.m3.large_fit_KMeans_i20000_f50,163.0,98.3,8.0,4.65,2016-09-08 21:29:00
aws.m3.large_fit_KMeans_i20000_f50,163.0,90.7,8.0,4.87,2016-09-08 21:29:01
aws.m3.large_fit_KMeans_i20000_f50,163.0,82.2,8.0,5.09,2016-09-08 21:29:01
aws.m3.large_fit_KMeans_i20000_f50,163.0,100.5,8.0,5.32,2016-09-08 21:29:01
aws.m3.large_fit_KMeans_i20000_f50,181.0,98.6,8.0,5.56,2016-09-08 21:29:01
aws.m3.large_fit_KMeans_i20000_f50,183.0,95.7,8.0,5.84,2016-09-08 21:29:02
aws.m3.large_fit_KMeans_i20000_f50,185.0,102.3,8.0,6.1,2016-09-08 21:29:02
aws.m3.large_fit_KMeans_i20000_f50,181.0,38.9,124.0,6.16,2016-09-08 21:29:02
aws.m3.large_fit_KMeans_i20000_f50,160.0,8.0,136.0,6.17,2016-09-08 21:29:02
aws.m3.large_fit_KMeans_i20000_f50,160.0,0.0,136.0,6.17,2016-09-08 21:29:03
aws.m3.large_fit_KMeans_i20000_f50,160.0,0.0,136.0,6.17,2016-09-08 21:29:03
aws.m3.large_fit_KMeans_i20000_f50,103.0,24.1,140.0,6.2,2016-09-08 21:29:03
