testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_KernelPCA_i20000_f50,0.0,0.0,0.0,0.0,2016-09-13 16:57:22
aws.m3.large_fit_KernelPCA_i20000_f50,21.0,0.0,0.0,0.14,2016-09-13 16:57:22
aws.m3.large_fit_KernelPCA_i20000_f50,36.0,74.3,0.0,0.28,2016-09-13 16:57:23
aws.m3.large_fit_KernelPCA_i20000_f50,51.0,97.4,4.0,0.48,2016-09-13 16:57:23
aws.m3.large_fit_KernelPCA_i20000_f50,61.0,39.4,8.0,0.55,2016-09-13 16:57:23
aws.m3.large_fit_KernelPCA_i20000_f50,82.0,48.0,8.0,0.62,2016-09-13 16:57:23
aws.m3.large_fit_KernelPCA_i20000_f50,115.0,96.5,8.0,0.78,2016-09-13 16:57:24
aws.m3.large_fit_KernelPCA_i20000_f50,306.0,99.2,8.0,0.86,2016-09-13 16:57:24
aws.m3.large_fit_KernelPCA_i20000_f50,308.0,98.5,8.0,1.11,2016-09-13 16:57:24
aws.m3.large_fit_KernelPCA_i20000_f50,308.0,99.9,8.0,1.36,2016-09-13 16:57:24
aws.m3.large_fit_KernelPCA_i20000_f50,308.0,96.9,8.0,1.6,2016-09-13 16:57:25
aws.m3.large_fit_KernelPCA_i20000_f50,308.0,101.7,8.0,1.86,2016-09-13 16:57:25
aws.m3.large_fit_KernelPCA_i20000_f50,388.0,97.4,8.0,2.03,2016-09-13 16:57:25
aws.m3.large_fit_KernelPCA_i20000_f50,603.0,101.2,8.0,2.07,2016-09-13 16:57:26
aws.m3.large_fit_KernelPCA_i20000_f50,499.0,102.0,8.0,2.21,2016-09-13 16:57:26
aws.m3.large_fit_KernelPCA_i20000_f50,499.0,93.1,8.0,2.46,2016-09-13 16:57:26
aws.m3.large_fit_KernelPCA_i20000_f50,499.0,98.5,8.0,2.73,2016-09-13 16:57:26
aws.m3.large_fit_KernelPCA_i20000_f50,180.0,86.1,8.0,2.87,2016-09-13 16:57:27
aws.m3.large_fit_KernelPCA_i20000_f50,156.0,98.7,8.0,3.04,2016-09-13 16:57:27
aws.m3.large_fit_KernelPCA_i20000_f50,177.0,97.2,8.0,3.19,2016-09-13 16:57:27
aws.m3.large_fit_KernelPCA_i20000_f50,156.0,93.3,8.0,3.41,2016-09-13 16:57:27
aws.m3.large_fit_KernelPCA_i20000_f50,118.0,98.6,8.0,3.55,2016-09-13 16:57:28
aws.m3.large_fit_KernelPCA_i20000_f50,156.0,100.0,8.0,3.76,2016-09-13 16:57:28
aws.m3.large_fit_KernelPCA_i20000_f50,118.0,98.1,8.0,3.9,2016-09-13 16:57:28
aws.m3.large_fit_KernelPCA_i20000_f50,156.0,99.8,8.0,4.12,2016-09-13 16:57:28
aws.m3.large_fit_KernelPCA_i20000_f50,121.0,93.3,8.0,4.24,2016-09-13 16:57:29
aws.m3.large_fit_KernelPCA_i20000_f50,156.0,100.0,8.0,4.46,2016-09-13 16:57:29
aws.m3.large_fit_KernelPCA_i20000_f50,119.0,94.7,8.0,4.6,2016-09-13 16:57:29
aws.m3.large_fit_KernelPCA_i20000_f50,118.0,62.5,2776.0,4.75,2016-09-13 16:57:29
aws.m3.large_fit_KernelPCA_i20000_f50,98.0,4.0,2792.0,4.75,2016-09-13 16:57:30
