testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_KernelRidge_i10000_f50,0.0,0.0,0.0,0.0,2016-09-08 18:32:51
aws.m3.large_fit_KernelRidge_i10000_f50,20.0,0.0,0.0,0.11,2016-09-08 18:32:52
aws.m3.large_fit_KernelRidge_i10000_f50,40.0,95.2,4.0,0.28,2016-09-08 18:32:52
aws.m3.large_fit_KernelRidge_i10000_f50,55.0,99.1,4.0,0.48,2016-09-08 18:32:52
aws.m3.large_fit_KernelRidge_i10000_f50,75.0,47.4,8.0,0.54,2016-09-08 18:32:52
aws.m3.large_fit_KernelRidge_i10000_f50,151.0,95.1,12.0,0.65,2016-09-08 18:32:53
aws.m3.large_fit_KernelRidge_i10000_f50,283.0,100.3,12.0,0.78,2016-09-08 18:32:53
aws.m3.large_fit_KernelRidge_i10000_f50,283.0,95.5,12.0,1.03,2016-09-08 18:32:53
aws.m3.large_fit_KernelRidge_i10000_f50,283.0,97.4,12.0,1.27,2016-09-08 18:32:53
aws.m3.large_fit_KernelRidge_i10000_f50,283.0,92.8,12.0,1.5,2016-09-08 18:32:54
aws.m3.large_fit_KernelRidge_i10000_f50,298.0,98.9,12.0,1.71,2016-09-08 18:32:54
aws.m3.large_fit_KernelRidge_i10000_f50,378.0,98.2,12.0,1.91,2016-09-08 18:32:54
aws.m3.large_fit_KernelRidge_i10000_f50,456.0,102.1,12.0,2.1,2016-09-08 18:32:55
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,95.8,12.0,2.33,2016-09-08 18:32:55
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.8,12.0,2.58,2016-09-08 18:32:55
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,95.9,12.0,2.82,2016-09-08 18:32:55
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,95.0,12.0,3.07,2016-09-08 18:32:56
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,95.8,12.0,3.31,2016-09-08 18:32:56
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.3,12.0,3.56,2016-09-08 18:32:56
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.3,12.0,3.81,2016-09-08 18:32:56
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.2,12.0,4.06,2016-09-08 18:32:57
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.3,12.0,4.31,2016-09-08 18:32:57
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.3,12.0,4.56,2016-09-08 18:32:57
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.2,12.0,4.81,2016-09-08 18:32:57
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,89.4,12.0,5.06,2016-09-08 18:32:58
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,95.6,12.0,5.3,2016-09-08 18:32:58
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.3,12.0,5.55,2016-09-08 18:32:58
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,98.8,12.0,5.8,2016-09-08 18:32:58
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.3,12.0,6.05,2016-09-08 18:32:59
aws.m3.large_fit_KernelRidge_i10000_f50,483.0,99.4,12.0,6.3,2016-09-08 18:32:59
aws.m3.large_fit_KernelRidge_i10000_f50,109.0,98.3,12.0,6.41,2016-09-08 18:32:59
aws.m3.large_fit_KernelRidge_i10000_f50,104.0,95.4,12.0,6.6,2016-09-08 18:32:59
aws.m3.large_fit_KernelRidge_i10000_f50,142.0,96.0,12.0,6.81,2016-09-08 18:33:00
aws.m3.large_fit_KernelRidge_i10000_f50,142.0,104.7,12.0,7.02,2016-09-08 18:33:00
aws.m3.large_fit_KernelRidge_i10000_f50,142.0,96.6,12.0,7.21,2016-09-08 18:33:00
aws.m3.large_fit_KernelRidge_i10000_f50,143.0,98.2,12.0,7.42,2016-09-08 18:33:00
aws.m3.large_fit_KernelRidge_i10000_f50,108.0,95.2,12.0,7.66,2016-09-08 18:33:01
aws.m3.large_fit_KernelRidge_i10000_f50,115.0,50.7,2624.0,7.75,2016-09-08 18:33:01
aws.m3.large_fit_KernelRidge_i10000_f50,104.0,4.0,2636.0,7.75,2016-09-08 18:33:01
