testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_Lasso_i20000_f20,0.0,0.0,0.0,0.0,2016-09-08 17:40:12
aws.m3.large_fit_Lasso_i20000_f20,21.0,0.0,0.0,0.11,2016-09-08 17:40:12
aws.m3.large_fit_Lasso_i20000_f20,39.0,98.1,4.0,0.28,2016-09-08 17:40:12
aws.m3.large_fit_Lasso_i20000_f20,54.0,98.2,4.0,0.49,2016-09-08 17:40:12
aws.m3.large_fit_Lasso_i20000_f20,61.0,22.0,8.0,0.53,2016-09-08 17:40:13
aws.m3.large_fit_Lasso_i20000_f20,88.0,68.0,8.0,0.64,2016-09-08 17:40:13
aws.m3.large_fit_Lasso_i20000_f20,140.0,97.3,8.0,0.78,2016-09-08 17:40:13
aws.m3.large_fit_Lasso_i20000_f20,140.0,99.5,8.0,1.04,2016-09-08 17:40:13
aws.m3.large_fit_Lasso_i20000_f20,140.0,90.5,8.0,1.3,2016-09-08 17:40:14
aws.m3.large_fit_Lasso_i20000_f20,140.0,99.1,8.0,1.56,2016-09-08 17:40:14
aws.m3.large_fit_Lasso_i20000_f20,149.0,91.1,8.0,1.81,2016-09-08 17:40:14
aws.m3.large_fit_Lasso_i20000_f20,152.0,96.2,8.0,2.1,2016-09-08 17:40:14
aws.m3.large_fit_Lasso_i20000_f20,153.0,95.5,8.0,2.34,2016-09-08 17:40:15
aws.m3.large_fit_Lasso_i20000_f20,128.0,35.5,28.0,2.38,2016-09-08 17:40:15
aws.m3.large_fit_Lasso_i20000_f20,128.0,0.0,28.0,2.38,2016-09-08 17:40:15
aws.m3.large_fit_Lasso_i20000_f20,128.0,0.0,28.0,2.38,2016-09-08 17:40:15
aws.m3.large_fit_Lasso_i20000_f20,128.0,0.0,28.0,2.38,2016-09-08 17:40:16
aws.m3.large_fit_Lasso_i20000_f20,0.0,0.0,0.0,0.0,2016-09-08 17:40:16
