testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_LinearRegression_i500000_f50,0.0,0.0,0.0,0.0,2016-09-08 17:15:13
aws.m3.large_fit_LinearRegression_i500000_f50,21.0,0.0,0.0,0.15,2016-09-08 17:15:13
aws.m3.large_fit_LinearRegression_i500000_f50,44.0,102.0,4.0,0.33,2016-09-08 17:15:13
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,94.0,8.0,0.53,2016-09-08 17:15:14
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:14
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:14
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:14
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:15
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:15
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:15
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:15
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:16
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:16
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:16
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:16
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:17
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:17
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:17
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:17
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:18
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:18
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:18
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:18
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:19
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:19
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:19
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:19
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:20
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:20
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:20
aws.m3.large_fit_LinearRegression_i500000_f50,61.0,0.0,8.0,0.53,2016-09-08 17:15:20
