testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_LogisticRegression_i1000000_f50,0.0,0.0,0.0,0.0,2016-09-08 19:23:26
aws.m3.large_fit_LogisticRegression_i1000000_f50,21.0,0.0,0.0,0.13,2016-09-08 19:23:27
aws.m3.large_fit_LogisticRegression_i1000000_f50,42.0,98.2,4.0,0.3,2016-09-08 19:23:27
aws.m3.large_fit_LogisticRegression_i1000000_f50,58.0,98.0,4.0,0.5,2016-09-08 19:23:27
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,11.9,8.0,0.52,2016-09-08 19:23:27
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:28
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:28
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:28
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:28
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:29
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:29
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:29
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:29
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:30
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:30
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:30
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:30
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:31
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:31
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:31
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:31
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:32
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:32
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:32
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:32
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:33
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:33
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:33
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:33
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:34
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:34
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:34
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:34
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:35
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:35
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:35
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:35
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:36
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:36
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:36
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:36
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:37
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:37
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:37
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:37
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:38
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:38
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:38
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:38
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:39
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:39
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:39
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:39
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:40
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:40
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:40
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:40
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:41
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:41
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:41
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:41
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:42
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:42
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:42
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:42
aws.m3.large_fit_LogisticRegression_i1000000_f50,61.0,0.0,8.0,0.52,2016-09-08 19:23:43
