testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_OneClassSVM_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 22:07:11
aws.m3.large_fit_OneClassSVM_i100000_f10,21.0,0.0,0.0,0.14,2016-09-08 22:07:11
aws.m3.large_fit_OneClassSVM_i100000_f10,42.0,95.1,4.0,0.32,2016-09-08 22:07:11
aws.m3.large_fit_OneClassSVM_i100000_f10,54.0,86.9,4.0,0.51,2016-09-08 22:07:12
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,24.1,8.0,0.54,2016-09-08 22:07:12
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:12
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:12
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:13
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:13
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:13
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:13
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:14
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:14
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:14
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:15
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:15
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:15
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:15
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:16
aws.m3.large_fit_OneClassSVM_i100000_f10,61.0,0.0,8.0,0.54,2016-09-08 22:07:16
aws.m3.large_fit_OneClassSVM_i100000_f10,92.0,68.2,8.0,0.66,2016-09-08 22:07:16
aws.m3.large_fit_OneClassSVM_i100000_f10,117.0,103.4,8.0,0.89,2016-09-08 22:07:16
aws.m3.large_fit_OneClassSVM_i100000_f10,158.0,94.5,12.0,1.01,2016-09-08 22:07:17
aws.m3.large_fit_OneClassSVM_i100000_f10,106.0,51.8,12.0,1.06,2016-09-08 22:07:17
aws.m3.large_fit_OneClassSVM_i100000_f10,106.0,0.0,12.0,1.06,2016-09-08 22:07:17
aws.m3.large_fit_OneClassSVM_i100000_f10,106.0,0.0,12.0,1.06,2016-09-08 22:07:17
aws.m3.large_fit_OneClassSVM_i100000_f10,106.0,0.0,12.0,1.06,2016-09-08 22:07:18
aws.m3.large_fit_OneClassSVM_i100000_f10,106.0,7.8,12.0,1.07,2016-09-08 22:07:18
aws.m3.large_fit_OneClassSVM_i100000_f10,123.0,96.6,12.0,1.3,2016-09-08 22:07:18
aws.m3.large_fit_OneClassSVM_i100000_f10,179.0,98.2,12.0,1.48,2016-09-08 22:07:18
aws.m3.large_fit_OneClassSVM_i100000_f10,210.0,95.6,12.0,1.7,2016-09-08 22:07:19
aws.m3.large_fit_OneClassSVM_i100000_f10,210.0,100.0,12.0,1.95,2016-09-08 22:07:19
aws.m3.large_fit_OneClassSVM_i100000_f10,210.0,99.9,12.0,2.2,2016-09-08 22:07:19
aws.m3.large_fit_OneClassSVM_i100000_f10,227.0,103.4,12.0,2.44,2016-09-08 22:07:19
aws.m3.large_fit_OneClassSVM_i100000_f10,249.0,95.7,12.0,2.66,2016-09-08 22:07:20
aws.m3.large_fit_OneClassSVM_i100000_f10,270.0,99.0,12.0,2.88,2016-09-08 22:07:20
aws.m3.large_fit_OneClassSVM_i100000_f10,293.0,99.4,12.0,3.1,2016-09-08 22:07:20
aws.m3.large_fit_OneClassSVM_i100000_f10,314.0,92.0,12.0,3.31,2016-09-08 22:07:20
aws.m3.large_fit_OneClassSVM_i100000_f10,336.0,103.6,12.0,3.55,2016-09-08 22:07:21
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,95.8,12.0,3.79,2016-09-08 22:07:21
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,12.0,4.04,2016-09-08 22:07:21
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.0,12.0,4.29,2016-09-08 22:07:21
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,12.0,4.54,2016-09-08 22:07:22
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,12.0,4.79,2016-09-08 22:07:22
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.0,12.0,5.04,2016-09-08 22:07:22
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,5.29,2016-09-08 22:07:22
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,96.0,12.0,5.53,2016-09-08 22:07:23
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,12.0,5.78,2016-09-08 22:07:23
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,95.5,12.0,6.02,2016-09-08 22:07:23
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.0,12.0,6.27,2016-09-08 22:07:23
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.0,12.0,6.52,2016-09-08 22:07:24
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,98.5,12.0,6.77,2016-09-08 22:07:24
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,7.02,2016-09-08 22:07:24
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,7.27,2016-09-08 22:07:24
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.7,12.0,7.52,2016-09-08 22:07:25
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,7.77,2016-09-08 22:07:25
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.7,12.0,8.02,2016-09-08 22:07:25
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,8.27,2016-09-08 22:07:25
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.1,12.0,8.54,2016-09-08 22:07:26
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,96.4,12.0,8.78,2016-09-08 22:07:26
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,96.2,12.0,9.02,2016-09-08 22:07:26
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.0,12.0,9.27,2016-09-08 22:07:26
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.5,12.0,9.54,2016-09-08 22:07:27
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,12.0,9.8,2016-09-08 22:07:27
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,12.0,10.05,2016-09-08 22:07:27
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,98.0,12.0,10.3,2016-09-08 22:07:27
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,102.2,12.0,10.56,2016-09-08 22:07:28
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,10.81,2016-09-08 22:07:28
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,11.06,2016-09-08 22:07:28
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,12.0,11.31,2016-09-08 22:07:28
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,97.2,12.0,11.58,2016-09-08 22:07:29
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,97.4,16.0,11.83,2016-09-08 22:07:29
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.7,16.0,12.08,2016-09-08 22:07:29
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,16.0,12.33,2016-09-08 22:07:29
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.9,16.0,12.58,2016-09-08 22:07:30
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,20.0,12.83,2016-09-08 22:07:30
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,99.8,20.0,13.08,2016-09-08 22:07:30
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,96.1,20.0,13.32,2016-09-08 22:07:30
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,88.6,20.0,13.56,2016-09-08 22:07:31
aws.m3.large_fit_OneClassSVM_i100000_f10,337.0,100.5,20.0,13.81,2016-09-08 22:07:31
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,92.1,20.0,14.01,2016-09-08 22:07:31
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,100.1,20.0,14.26,2016-09-08 22:07:31
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,92.1,20.0,14.49,2016-09-08 22:07:32
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,99.7,20.0,14.74,2016-09-08 22:07:32
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,99.8,20.0,14.99,2016-09-08 22:07:32
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,100.4,20.0,15.23,2016-09-08 22:07:32
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,101.1,20.0,15.49,2016-09-08 22:07:33
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,96.3,20.0,15.73,2016-09-08 22:07:33
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,100.6,20.0,15.98,2016-09-08 22:07:33
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,96.7,20.0,16.22,2016-09-08 22:07:33
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,92.7,20.0,16.45,2016-09-08 22:07:34
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,99.1,24.0,16.7,2016-09-08 22:07:34
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,96.0,24.0,16.94,2016-09-08 22:07:34
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,100.1,24.0,17.19,2016-09-08 22:07:34
aws.m3.large_fit_OneClassSVM_i100000_f10,189.0,100.2,24.0,17.44,2016-09-08 22:07:35
aws.m3.large_fit_OneClassSVM_i100000_f10,190.0,95.4,24.0,17.68,2016-09-08 22:07:35
