testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_PCA_i10000_f20,0.0,0.0,0.0,0.0,2016-09-08 22:31:43
aws.m3.large_fit_PCA_i10000_f20,21.0,0.0,0.0,0.13,2016-09-08 22:31:43
aws.m3.large_fit_PCA_i10000_f20,41.0,98.9,8.0,0.3,2016-09-08 22:31:44
aws.m3.large_fit_PCA_i10000_f20,56.0,98.0,8.0,0.51,2016-09-08 22:31:44
aws.m3.large_fit_PCA_i10000_f20,77.0,51.0,12.0,0.58,2016-09-08 22:31:44
aws.m3.large_fit_PCA_i10000_f20,110.0,98.8,12.0,0.77,2016-09-08 22:31:44
aws.m3.large_fit_PCA_i10000_f20,113.0,99.2,12.0,1.01,2016-09-08 22:31:45
aws.m3.large_fit_PCA_i10000_f20,120.0,78.4,20.0,1.17,2016-09-08 22:31:45
aws.m3.large_fit_PCA_i10000_f20,105.0,4.0,24.0,1.17,2016-09-08 22:31:45
aws.m3.large_fit_PCA_i10000_f20,105.0,0.0,24.0,1.17,2016-09-08 22:31:46
aws.m3.large_fit_PCA_i10000_f20,105.0,0.0,24.0,1.17,2016-09-08 22:31:46
aws.m3.large_fit_PCA_i10000_f20,0.0,0.0,0.0,0.0,2016-09-08 22:31:46
