testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_RandomForestClassifier_i20000_f10,0.0,0.0,0.0,0.0,2016-09-08 20:18:39
aws.m3.large_fit_RandomForestClassifier_i20000_f10,21.0,0.0,0.0,0.14,2016-09-08 20:18:39
aws.m3.large_fit_RandomForestClassifier_i20000_f10,43.0,98.2,0.0,0.31,2016-09-08 20:18:39
aws.m3.large_fit_RandomForestClassifier_i20000_f10,60.0,96.6,0.0,0.51,2016-09-08 20:18:40
aws.m3.large_fit_RandomForestClassifier_i20000_f10,61.0,4.0,4.0,0.52,2016-09-08 20:18:40
aws.m3.large_fit_RandomForestClassifier_i20000_f10,95.0,87.9,4.0,0.67,2016-09-08 20:18:40
aws.m3.large_fit_RandomForestClassifier_i20000_f10,148.0,98.8,4.0,0.82,2016-09-08 20:18:40
aws.m3.large_fit_RandomForestClassifier_i20000_f10,148.0,95.1,4.0,1.07,2016-09-08 20:18:41
aws.m3.large_fit_RandomForestClassifier_i20000_f10,148.0,99.6,4.0,1.32,2016-09-08 20:18:41
aws.m3.large_fit_RandomForestClassifier_i20000_f10,150.0,99.4,4.0,1.57,2016-09-08 20:18:41
aws.m3.large_fit_RandomForestClassifier_i20000_f10,152.0,103.3,4.0,1.82,2016-09-08 20:18:41
aws.m3.large_fit_RandomForestClassifier_i20000_f10,152.0,99.0,4.0,2.06,2016-09-08 20:18:42
aws.m3.large_fit_RandomForestClassifier_i20000_f10,158.0,38.7,5856.0,2.12,2016-09-08 20:18:42
aws.m3.large_fit_RandomForestClassifier_i20000_f10,137.0,4.0,5860.0,2.12,2016-09-08 20:18:42
aws.m3.large_fit_RandomForestClassifier_i20000_f10,137.0,0.0,5860.0,2.12,2016-09-08 20:18:42
aws.m3.large_fit_RandomForestClassifier_i20000_f10,137.0,0.0,5860.0,2.12,2016-09-08 20:18:43
aws.m3.large_fit_RandomForestClassifier_i20000_f10,103.0,31.3,5860.0,2.17,2016-09-08 20:18:43
