testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_RandomForestRegressor_i20000_f50,0.0,0.0,0.0,0.0,2016-09-08 18:17:10
aws.m3.large_fit_RandomForestRegressor_i20000_f50,21.0,0.0,0.0,0.13,2016-09-08 18:17:11
aws.m3.large_fit_RandomForestRegressor_i20000_f50,41.0,94.8,4.0,0.31,2016-09-08 18:17:11
aws.m3.large_fit_RandomForestRegressor_i20000_f50,59.0,102.1,4.0,0.5,2016-09-08 18:17:11
aws.m3.large_fit_RandomForestRegressor_i20000_f50,61.0,8.0,8.0,0.52,2016-09-08 18:17:11
aws.m3.large_fit_RandomForestRegressor_i20000_f50,91.0,80.0,8.0,0.66,2016-09-08 18:17:12
aws.m3.large_fit_RandomForestRegressor_i20000_f50,152.0,102.5,8.0,0.8,2016-09-08 18:17:12
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,98.6,8.0,1.05,2016-09-08 18:17:12
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,100.0,8.0,1.31,2016-09-08 18:17:12
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,87.7,8.0,1.53,2016-09-08 18:17:13
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,102.8,8.0,1.79,2016-09-08 18:17:13
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,98.2,8.0,2.04,2016-09-08 18:17:13
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,99.1,8.0,2.29,2016-09-08 18:17:13
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,99.4,8.0,2.54,2016-09-08 18:17:14
aws.m3.large_fit_RandomForestRegressor_i20000_f50,155.0,93.1,8.0,2.79,2016-09-08 18:17:14
aws.m3.large_fit_RandomForestRegressor_i20000_f50,157.0,96.8,8.0,3.04,2016-09-08 18:17:14
aws.m3.large_fit_RandomForestRegressor_i20000_f50,160.0,103.0,8.0,3.29,2016-09-08 18:17:14
aws.m3.large_fit_RandomForestRegressor_i20000_f50,161.0,99.1,12.0,3.54,2016-09-08 18:17:15
aws.m3.large_fit_RandomForestRegressor_i20000_f50,157.0,66.3,3360.0,3.67,2016-09-08 18:17:15
aws.m3.large_fit_RandomForestRegressor_i20000_f50,136.0,4.0,3376.0,3.67,2016-09-08 18:17:15
aws.m3.large_fit_RandomForestRegressor_i20000_f50,136.0,0.0,3376.0,3.67,2016-09-08 18:17:15
aws.m3.large_fit_RandomForestRegressor_i20000_f50,136.0,0.0,3376.0,3.67,2016-09-08 18:17:16
aws.m3.large_fit_RandomForestRegressor_i20000_f50,136.0,10.8,3380.0,3.69,2016-09-08 18:17:16
