testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:51:57
aws.m3.large_fit_Ridge_i100000_f10,21.0,0.0,0.0,0.14,2016-09-08 17:51:58
aws.m3.large_fit_Ridge_i100000_f10,41.0,90.8,4.0,0.28,2016-09-08 17:51:58
aws.m3.large_fit_Ridge_i100000_f10,56.0,98.5,4.0,0.5,2016-09-08 17:51:58
aws.m3.large_fit_Ridge_i100000_f10,61.0,15.9,8.0,0.52,2016-09-08 17:51:58
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:51:59
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:51:59
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:51:59
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:51:59
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:00
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:00
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:00
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:00
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:01
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:01
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:01
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:01
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:02
aws.m3.large_fit_Ridge_i100000_f10,61.0,0.0,8.0,0.52,2016-09-08 17:52:02
aws.m3.large_fit_Ridge_i100000_f10,70.0,7.2,8.0,0.53,2016-09-08 17:52:02
aws.m3.large_fit_Ridge_i100000_f10,105.0,98.5,8.0,0.72,2016-09-08 17:52:02
aws.m3.large_fit_Ridge_i100000_f10,143.0,97.5,8.0,0.9,2016-09-08 17:52:03
aws.m3.large_fit_Ridge_i100000_f10,115.0,15.9,12.0,0.91,2016-09-08 17:52:03
aws.m3.large_fit_Ridge_i100000_f10,115.0,0.0,12.0,0.91,2016-09-08 17:52:03
aws.m3.large_fit_Ridge_i100000_f10,115.0,0.0,12.0,0.91,2016-09-08 17:52:03
aws.m3.large_fit_Ridge_i100000_f10,115.0,0.0,12.0,0.91,2016-09-08 17:52:04
aws.m3.large_fit_Ridge_i100000_f10,136.0,43.8,12.0,0.99,2016-09-08 17:52:04
aws.m3.large_fit_Ridge_i100000_f10,164.0,99.0,12.0,1.2,2016-09-08 17:52:04
aws.m3.large_fit_Ridge_i100000_f10,217.0,94.6,12.0,1.3,2016-09-08 17:52:04
aws.m3.large_fit_Ridge_i100000_f10,382.0,101.7,12.0,1.37,2016-09-08 17:52:05
aws.m3.large_fit_Ridge_i100000_f10,319.0,102.0,12.0,1.42,2016-09-08 17:52:05
aws.m3.large_fit_Ridge_i100000_f10,430.0,98.1,12.0,1.47,2016-09-08 17:52:05
aws.m3.large_fit_Ridge_i100000_f10,353.0,98.3,12.0,1.59,2016-09-08 17:52:05
aws.m3.large_fit_Ridge_i100000_f10,437.0,98.2,12.0,1.66,2016-09-08 17:52:06
aws.m3.large_fit_Ridge_i100000_f10,440.0,99.2,12.0,1.91,2016-09-08 17:52:06
aws.m3.large_fit_Ridge_i100000_f10,442.0,95.5,12.0,2.15,2016-09-08 17:52:06
aws.m3.large_fit_Ridge_i100000_f10,444.0,99.7,12.0,2.39,2016-09-08 17:52:06
aws.m3.large_fit_Ridge_i100000_f10,446.0,96.6,12.0,2.65,2016-09-08 17:52:07
aws.m3.large_fit_Ridge_i100000_f10,448.0,99.1,12.0,2.9,2016-09-08 17:52:07
aws.m3.large_fit_Ridge_i100000_f10,450.0,99.1,12.0,3.14,2016-09-08 17:52:07
aws.m3.large_fit_Ridge_i100000_f10,452.0,103.1,12.0,3.39,2016-09-08 17:52:08
aws.m3.large_fit_Ridge_i100000_f10,454.0,99.0,12.0,3.63,2016-09-08 17:52:08
aws.m3.large_fit_Ridge_i100000_f10,456.0,99.0,12.0,3.88,2016-09-08 17:52:08
aws.m3.large_fit_Ridge_i100000_f10,458.0,99.2,12.0,4.13,2016-09-08 17:52:08
aws.m3.large_fit_Ridge_i100000_f10,460.0,99.0,12.0,4.38,2016-09-08 17:52:09
aws.m3.large_fit_Ridge_i100000_f10,461.0,83.1,12.0,4.59,2016-09-08 17:52:09
aws.m3.large_fit_Ridge_i100000_f10,354.0,83.8,16.0,4.69,2016-09-08 17:52:09
aws.m3.large_fit_Ridge_i100000_f10,288.0,12.0,36.0,4.69,2016-09-08 17:52:09
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:10
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:10
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:10
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:10
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:11
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:11
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:11
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:11
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:12
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:12
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:12
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:12
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:13
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:13
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:13
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:13
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:14
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:14
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:14
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:14
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:15
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:15
aws.m3.large_fit_Ridge_i100000_f10,288.0,0.0,36.0,4.69,2016-09-08 17:52:15
aws.m3.large_fit_Ridge_i100000_f10,284.0,0.0,36.0,4.69,2016-09-08 17:52:15
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:16
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:16
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:16
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:16
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:17
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:17
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:17
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:17
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:18
aws.m3.large_fit_Ridge_i100000_f10,0.0,0.0,0.0,0.0,2016-09-08 17:52:18
