testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_SGDClassifier_i500000_f50,0.0,0.0,0.0,0.0,2016-09-08 21:01:02
aws.m3.large_fit_SGDClassifier_i500000_f50,21.0,0.0,0.0,0.15,2016-09-08 21:01:02
aws.m3.large_fit_SGDClassifier_i500000_f50,42.0,98.0,4.0,0.34,2016-09-08 21:01:02
aws.m3.large_fit_SGDClassifier_i500000_f50,59.0,88.6,4.0,0.54,2016-09-08 21:01:03
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,4.0,8.0,0.55,2016-09-08 21:01:03
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:03
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:03
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:04
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:04
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:04
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:04
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:05
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:05
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:05
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:05
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:06
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:06
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:06
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:06
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:07
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:07
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:07
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:07
aws.m3.large_fit_SGDClassifier_i500000_f50,61.0,0.0,8.0,0.55,2016-09-08 21:01:08
