testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_SGDRegressor_i50000_f20,0.0,0.0,0.0,0.0,2016-09-08 18:58:14
aws.m3.large_fit_SGDRegressor_i50000_f20,20.0,0.0,0.0,0.12,2016-09-08 18:58:15
aws.m3.large_fit_SGDRegressor_i50000_f20,41.0,95.6,4.0,0.29,2016-09-08 18:58:15
aws.m3.large_fit_SGDRegressor_i50000_f20,55.0,99.1,4.0,0.5,2016-09-08 18:58:15
aws.m3.large_fit_SGDRegressor_i50000_f20,61.0,15.9,8.0,0.53,2016-09-08 18:58:15
aws.m3.large_fit_SGDRegressor_i50000_f20,61.0,0.0,8.0,0.53,2016-09-08 18:58:16
aws.m3.large_fit_SGDRegressor_i50000_f20,70.0,19.3,8.0,0.55,2016-09-08 18:58:16
aws.m3.large_fit_SGDRegressor_i50000_f20,106.0,99.9,8.0,0.76,2016-09-08 18:58:16
aws.m3.large_fit_SGDRegressor_i50000_f20,154.0,101.8,8.0,0.93,2016-09-08 18:58:16
aws.m3.large_fit_SGDRegressor_i50000_f20,229.0,94.4,12.0,1.01,2016-09-08 18:58:17
aws.m3.large_fit_SGDRegressor_i50000_f20,274.0,96.4,12.0,1.22,2016-09-08 18:58:17
aws.m3.large_fit_SGDRegressor_i50000_f20,276.0,99.1,12.0,1.47,2016-09-08 18:58:17
aws.m3.large_fit_SGDRegressor_i50000_f20,278.0,99.6,12.0,1.71,2016-09-08 18:58:17
aws.m3.large_fit_SGDRegressor_i50000_f20,280.0,103.1,12.0,1.97,2016-09-08 18:58:18
aws.m3.large_fit_SGDRegressor_i50000_f20,282.0,94.7,12.0,2.21,2016-09-08 18:58:18
aws.m3.large_fit_SGDRegressor_i50000_f20,284.0,99.1,12.0,2.46,2016-09-08 18:58:18
aws.m3.large_fit_SGDRegressor_i50000_f20,288.0,98.8,12.0,2.7,2016-09-08 18:58:19
aws.m3.large_fit_SGDRegressor_i50000_f20,283.0,38.1,20.0,2.71,2016-09-08 18:58:19
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,8.0,24.0,2.71,2016-09-08 18:58:19
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:19
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:20
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:20
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:20
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:20
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:21
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:21
aws.m3.large_fit_SGDRegressor_i50000_f20,231.0,0.0,24.0,2.71,2016-09-08 18:58:21
aws.m3.large_fit_SGDRegressor_i50000_f20,0.0,0.0,0.0,0.0,2016-09-08 18:58:21
