testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_SVM_i10000_f50,0.0,0.0,0.0,0.0,2016-09-08 19:39:38
aws.m3.large_fit_SVM_i10000_f50,21.0,0.0,0.0,0.14,2016-09-08 19:39:38
aws.m3.large_fit_SVM_i10000_f50,43.0,94.4,4.0,0.31,2016-09-08 19:39:38
aws.m3.large_fit_SVM_i10000_f50,60.0,96.0,4.0,0.52,2016-09-08 19:39:39
aws.m3.large_fit_SVM_i10000_f50,78.0,39.8,8.0,0.57,2016-09-08 19:39:39
aws.m3.large_fit_SVM_i10000_f50,109.0,103.0,8.0,0.75,2016-09-08 19:39:39
aws.m3.large_fit_SVM_i10000_f50,119.0,95.8,8.0,0.98,2016-09-08 19:39:39
aws.m3.large_fit_SVM_i10000_f50,128.0,95.3,8.0,1.21,2016-09-08 19:39:40
aws.m3.large_fit_SVM_i10000_f50,138.0,99.8,8.0,1.44,2016-09-08 19:39:40
aws.m3.large_fit_SVM_i10000_f50,148.0,99.4,8.0,1.67,2016-09-08 19:39:40
aws.m3.large_fit_SVM_i10000_f50,158.0,99.5,8.0,1.91,2016-09-08 19:39:40
aws.m3.large_fit_SVM_i10000_f50,168.0,91.7,8.0,2.14,2016-09-08 19:39:41
aws.m3.large_fit_SVM_i10000_f50,177.0,95.6,8.0,2.37,2016-09-08 19:39:41
aws.m3.large_fit_SVM_i10000_f50,187.0,95.4,8.0,2.59,2016-09-08 19:39:41
aws.m3.large_fit_SVM_i10000_f50,197.0,103.5,8.0,2.83,2016-09-08 19:39:41
aws.m3.large_fit_SVM_i10000_f50,207.0,91.6,8.0,3.05,2016-09-08 19:39:42
aws.m3.large_fit_SVM_i10000_f50,216.0,99.2,8.0,3.28,2016-09-08 19:39:42
aws.m3.large_fit_SVM_i10000_f50,226.0,103.5,8.0,3.52,2016-09-08 19:39:42
aws.m3.large_fit_SVM_i10000_f50,236.0,95.5,8.0,3.75,2016-09-08 19:39:42
aws.m3.large_fit_SVM_i10000_f50,245.0,95.8,8.0,3.98,2016-09-08 19:39:43
aws.m3.large_fit_SVM_i10000_f50,255.0,103.6,8.0,4.21,2016-09-08 19:39:43
aws.m3.large_fit_SVM_i10000_f50,265.0,95.6,8.0,4.45,2016-09-08 19:39:43
aws.m3.large_fit_SVM_i10000_f50,275.0,99.5,8.0,4.69,2016-09-08 19:39:43
aws.m3.large_fit_SVM_i10000_f50,285.0,94.5,8.0,4.92,2016-09-08 19:39:44
aws.m3.large_fit_SVM_i10000_f50,295.0,102.8,8.0,5.16,2016-09-08 19:39:44
aws.m3.large_fit_SVM_i10000_f50,305.0,98.8,8.0,5.39,2016-09-08 19:39:44
aws.m3.large_fit_SVM_i10000_f50,308.0,99.1,8.0,5.64,2016-09-08 19:39:44
aws.m3.large_fit_SVM_i10000_f50,308.0,94.1,8.0,5.88,2016-09-08 19:39:45
aws.m3.large_fit_SVM_i10000_f50,308.0,99.0,8.0,6.13,2016-09-08 19:39:45
aws.m3.large_fit_SVM_i10000_f50,308.0,99.1,8.0,6.38,2016-09-08 19:39:45
aws.m3.large_fit_SVM_i10000_f50,308.0,99.0,8.0,6.63,2016-09-08 19:39:45
aws.m3.large_fit_SVM_i10000_f50,308.0,98.9,8.0,6.88,2016-09-08 19:39:46
aws.m3.large_fit_SVM_i10000_f50,308.0,99.1,8.0,7.13,2016-09-08 19:39:46
aws.m3.large_fit_SVM_i10000_f50,308.0,99.0,8.0,7.38,2016-09-08 19:39:46
aws.m3.large_fit_SVM_i10000_f50,308.0,95.6,8.0,7.66,2016-09-08 19:39:46
aws.m3.large_fit_SVM_i10000_f50,308.0,91.3,8.0,7.89,2016-09-08 19:39:47
aws.m3.large_fit_SVM_i10000_f50,308.0,99.1,8.0,8.14,2016-09-08 19:39:47
aws.m3.large_fit_SVM_i10000_f50,308.0,103.1,8.0,8.4,2016-09-08 19:39:47
aws.m3.large_fit_SVM_i10000_f50,308.0,99.1,8.0,8.65,2016-09-08 19:39:47
aws.m3.large_fit_SVM_i10000_f50,308.0,98.7,8.0,8.9,2016-09-08 19:39:48
aws.m3.large_fit_SVM_i10000_f50,308.0,99.1,8.0,9.15,2016-09-08 19:39:48
aws.m3.large_fit_SVM_i10000_f50,110.0,98.9,8.0,9.34,2016-09-08 19:39:48
aws.m3.large_fit_SVM_i10000_f50,120.0,98.8,8.0,9.58,2016-09-08 19:39:48
aws.m3.large_fit_SVM_i10000_f50,129.0,91.0,8.0,9.8,2016-09-08 19:39:49
aws.m3.large_fit_SVM_i10000_f50,138.0,99.0,8.0,10.04,2016-09-08 19:39:49
aws.m3.large_fit_SVM_i10000_f50,147.0,102.8,8.0,10.29,2016-09-08 19:39:49
aws.m3.large_fit_SVM_i10000_f50,156.0,94.7,8.0,10.52,2016-09-08 19:39:49
aws.m3.large_fit_SVM_i10000_f50,165.0,98.9,8.0,10.76,2016-09-08 19:39:50
aws.m3.large_fit_SVM_i10000_f50,174.0,102.9,8.0,11.0,2016-09-08 19:39:50
aws.m3.large_fit_SVM_i10000_f50,112.0,98.9,8.0,11.23,2016-09-08 19:39:50
aws.m3.large_fit_SVM_i10000_f50,121.0,94.8,8.0,11.45,2016-09-08 19:39:51
aws.m3.large_fit_SVM_i10000_f50,128.0,79.0,8.0,11.65,2016-09-08 19:39:51
aws.m3.large_fit_SVM_i10000_f50,137.0,98.4,8.0,11.89,2016-09-08 19:39:51
aws.m3.large_fit_SVM_i10000_f50,147.0,102.9,8.0,12.13,2016-09-08 19:39:51
aws.m3.large_fit_SVM_i10000_f50,156.0,95.0,8.0,12.36,2016-09-08 19:39:52
aws.m3.large_fit_SVM_i10000_f50,111.0,102.7,8.0,12.6,2016-09-08 19:39:52
aws.m3.large_fit_SVM_i10000_f50,120.0,98.9,8.0,12.83,2016-09-08 19:39:52
aws.m3.large_fit_SVM_i10000_f50,129.0,98.9,8.0,13.06,2016-09-08 19:39:52
aws.m3.large_fit_SVM_i10000_f50,139.0,99.4,8.0,13.3,2016-09-08 19:39:53
aws.m3.large_fit_SVM_i10000_f50,147.0,98.8,8.0,13.53,2016-09-08 19:39:53
aws.m3.large_fit_SVM_i10000_f50,157.0,98.6,8.0,13.78,2016-09-08 19:39:53
aws.m3.large_fit_SVM_i10000_f50,118.0,98.9,8.0,14.01,2016-09-08 19:39:53
aws.m3.large_fit_SVM_i10000_f50,120.0,94.9,8.0,14.25,2016-09-08 19:39:54
aws.m3.large_fit_SVM_i10000_f50,129.0,98.8,8.0,14.49,2016-09-08 19:39:54
aws.m3.large_fit_SVM_i10000_f50,139.0,102.8,8.0,14.73,2016-09-08 19:39:54
aws.m3.large_fit_SVM_i10000_f50,148.0,98.9,8.0,14.97,2016-09-08 19:39:54
aws.m3.large_fit_SVM_i10000_f50,157.0,96.6,8.0,15.22,2016-09-08 19:39:55
aws.m3.large_fit_SVM_i10000_f50,166.0,102.8,12.0,15.46,2016-09-08 19:39:55
aws.m3.large_fit_SVM_i10000_f50,116.0,94.9,12.0,15.68,2016-09-08 19:39:55
aws.m3.large_fit_SVM_i10000_f50,125.0,98.5,12.0,15.92,2016-09-08 19:39:55
aws.m3.large_fit_SVM_i10000_f50,135.0,99.4,12.0,16.19,2016-09-08 19:39:56
aws.m3.large_fit_SVM_i10000_f50,145.0,100.6,12.0,16.43,2016-09-08 19:39:56
aws.m3.large_fit_SVM_i10000_f50,154.0,98.8,12.0,16.66,2016-09-08 19:39:56
aws.m3.large_fit_SVM_i10000_f50,163.0,98.7,12.0,16.9,2016-09-08 19:39:56
aws.m3.large_fit_SVM_i10000_f50,110.0,98.8,12.0,17.14,2016-09-08 19:39:57
aws.m3.large_fit_SVM_i10000_f50,120.0,98.8,12.0,17.37,2016-09-08 19:39:57
aws.m3.large_fit_SVM_i10000_f50,130.0,98.9,12.0,17.61,2016-09-08 19:39:57
aws.m3.large_fit_SVM_i10000_f50,139.0,103.0,12.0,17.85,2016-09-08 19:39:57
aws.m3.large_fit_SVM_i10000_f50,149.0,94.9,12.0,18.08,2016-09-08 19:39:58
aws.m3.large_fit_SVM_i10000_f50,158.0,102.9,12.0,18.32,2016-09-08 19:39:58
aws.m3.large_fit_SVM_i10000_f50,168.0,97.5,12.0,18.56,2016-09-08 19:39:58
aws.m3.large_fit_SVM_i10000_f50,177.0,98.9,12.0,18.8,2016-09-08 19:39:58
aws.m3.large_fit_SVM_i10000_f50,186.0,98.8,12.0,19.04,2016-09-08 19:39:59
aws.m3.large_fit_SVM_i10000_f50,195.0,99.1,12.0,19.27,2016-09-08 19:39:59
aws.m3.large_fit_SVM_i10000_f50,204.0,99.0,12.0,19.51,2016-09-08 19:39:59
aws.m3.large_fit_SVM_i10000_f50,213.0,90.7,12.0,19.73,2016-09-08 19:39:59
aws.m3.large_fit_SVM_i10000_f50,222.0,99.0,12.0,19.97,2016-09-08 19:40:00
aws.m3.large_fit_SVM_i10000_f50,114.0,102.6,12.0,20.18,2016-09-08 19:40:00
aws.m3.large_fit_SVM_i10000_f50,123.0,94.7,12.0,20.42,2016-09-08 19:40:00
aws.m3.large_fit_SVM_i10000_f50,133.0,102.9,12.0,20.66,2016-09-08 19:40:00
aws.m3.large_fit_SVM_i10000_f50,141.0,98.9,12.0,20.9,2016-09-08 19:40:01
aws.m3.large_fit_SVM_i10000_f50,151.0,95.4,12.0,21.13,2016-09-08 19:40:01
aws.m3.large_fit_SVM_i10000_f50,160.0,99.1,12.0,21.37,2016-09-08 19:40:01
aws.m3.large_fit_SVM_i10000_f50,169.0,98.9,12.0,21.6,2016-09-08 19:40:01
aws.m3.large_fit_SVM_i10000_f50,179.0,98.9,12.0,21.84,2016-09-08 19:40:02
aws.m3.large_fit_SVM_i10000_f50,188.0,103.0,12.0,22.08,2016-09-08 19:40:02
aws.m3.large_fit_SVM_i10000_f50,197.0,99.0,12.0,22.31,2016-09-08 19:40:02
aws.m3.large_fit_SVM_i10000_f50,112.0,98.7,12.0,22.53,2016-09-08 19:40:02
aws.m3.large_fit_SVM_i10000_f50,121.0,94.5,12.0,22.76,2016-09-08 19:40:03
aws.m3.large_fit_SVM_i10000_f50,131.0,98.6,12.0,23.0,2016-09-08 19:40:03
aws.m3.large_fit_SVM_i10000_f50,140.0,97.7,12.0,23.24,2016-09-08 19:40:03
aws.m3.large_fit_SVM_i10000_f50,150.0,102.9,12.0,23.48,2016-09-08 19:40:03
aws.m3.large_fit_SVM_i10000_f50,159.0,98.8,12.0,23.72,2016-09-08 19:40:04
aws.m3.large_fit_SVM_i10000_f50,169.0,102.8,12.0,23.96,2016-09-08 19:40:04
aws.m3.large_fit_SVM_i10000_f50,178.0,95.4,12.0,24.19,2016-09-08 19:40:04
aws.m3.large_fit_SVM_i10000_f50,188.0,98.9,12.0,24.43,2016-09-08 19:40:04
aws.m3.large_fit_SVM_i10000_f50,196.0,98.5,12.0,24.67,2016-09-08 19:40:05
aws.m3.large_fit_SVM_i10000_f50,113.0,99.3,12.0,24.88,2016-09-08 19:40:05
aws.m3.large_fit_SVM_i10000_f50,119.0,98.9,12.0,25.12,2016-09-08 19:40:05
aws.m3.large_fit_SVM_i10000_f50,128.0,98.9,12.0,25.35,2016-09-08 19:40:06
aws.m3.large_fit_SVM_i10000_f50,138.0,98.9,12.0,25.59,2016-09-08 19:40:06
aws.m3.large_fit_SVM_i10000_f50,148.0,102.7,12.0,25.83,2016-09-08 19:40:06
aws.m3.large_fit_SVM_i10000_f50,157.0,98.8,12.0,26.07,2016-09-08 19:40:06
aws.m3.large_fit_SVM_i10000_f50,166.0,100.3,12.0,26.32,2016-09-08 19:40:07
aws.m3.large_fit_SVM_i10000_f50,176.0,98.8,12.0,26.56,2016-09-08 19:40:07
aws.m3.large_fit_SVM_i10000_f50,185.0,94.6,12.0,26.79,2016-09-08 19:40:07
aws.m3.large_fit_SVM_i10000_f50,194.0,102.9,12.0,27.03,2016-09-08 19:40:07
aws.m3.large_fit_SVM_i10000_f50,204.0,98.8,12.0,27.27,2016-09-08 19:40:08
aws.m3.large_fit_SVM_i10000_f50,110.0,99.1,12.0,27.5,2016-09-08 19:40:08
aws.m3.large_fit_SVM_i10000_f50,120.0,98.4,12.0,27.73,2016-09-08 19:40:08
aws.m3.large_fit_SVM_i10000_f50,130.0,99.0,12.0,27.97,2016-09-08 19:40:08
aws.m3.large_fit_SVM_i10000_f50,140.0,88.5,12.0,28.22,2016-09-08 19:40:09
aws.m3.large_fit_SVM_i10000_f50,149.0,94.9,12.0,28.45,2016-09-08 19:40:09
aws.m3.large_fit_SVM_i10000_f50,159.0,102.8,12.0,28.69,2016-09-08 19:40:09
aws.m3.large_fit_SVM_i10000_f50,168.0,98.5,12.0,28.93,2016-09-08 19:40:09
aws.m3.large_fit_SVM_i10000_f50,178.0,102.9,12.0,29.18,2016-09-08 19:40:10
aws.m3.large_fit_SVM_i10000_f50,187.0,95.5,12.0,29.41,2016-09-08 19:40:10
aws.m3.large_fit_SVM_i10000_f50,196.0,98.9,12.0,29.65,2016-09-08 19:40:10
aws.m3.large_fit_SVM_i10000_f50,206.0,99.0,12.0,29.88,2016-09-08 19:40:10
aws.m3.large_fit_SVM_i10000_f50,110.0,96.8,12.0,30.08,2016-09-08 19:40:11
aws.m3.large_fit_SVM_i10000_f50,110.0,102.8,12.0,30.33,2016-09-08 19:40:11
aws.m3.large_fit_SVM_i10000_f50,121.0,98.1,12.0,30.57,2016-09-08 19:40:11
aws.m3.large_fit_SVM_i10000_f50,121.0,99.7,12.0,30.82,2016-09-08 19:40:11
aws.m3.large_fit_SVM_i10000_f50,121.0,99.7,12.0,31.07,2016-09-08 19:40:12
aws.m3.large_fit_SVM_i10000_f50,121.0,99.8,12.0,31.32,2016-09-08 19:40:12
aws.m3.large_fit_SVM_i10000_f50,121.0,99.7,12.0,31.57,2016-09-08 19:40:12
aws.m3.large_fit_SVM_i10000_f50,121.0,99.7,12.0,31.82,2016-09-08 19:40:12
aws.m3.large_fit_SVM_i10000_f50,121.0,95.7,12.0,32.06,2016-09-08 19:40:13
aws.m3.large_fit_SVM_i10000_f50,121.0,100.2,12.0,32.31,2016-09-08 19:40:13
aws.m3.large_fit_SVM_i10000_f50,121.0,99.7,12.0,32.56,2016-09-08 19:40:13
aws.m3.large_fit_SVM_i10000_f50,121.0,98.5,12.0,32.81,2016-09-08 19:40:13
aws.m3.large_fit_SVM_i10000_f50,121.0,99.6,12.0,33.06,2016-09-08 19:40:14
aws.m3.large_fit_SVM_i10000_f50,121.0,93.5,12.0,33.32,2016-09-08 19:40:14
aws.m3.large_fit_SVM_i10000_f50,121.0,100.3,12.0,33.57,2016-09-08 19:40:14
aws.m3.large_fit_SVM_i10000_f50,121.0,96.5,12.0,33.81,2016-09-08 19:40:14
aws.m3.large_fit_SVM_i10000_f50,121.0,96.3,12.0,34.05,2016-09-08 19:40:15
aws.m3.large_fit_SVM_i10000_f50,121.0,100.5,12.0,34.3,2016-09-08 19:40:15
aws.m3.large_fit_SVM_i10000_f50,121.0,96.3,12.0,34.54,2016-09-08 19:40:15
aws.m3.large_fit_SVM_i10000_f50,121.0,100.3,12.0,34.79,2016-09-08 19:40:15
aws.m3.large_fit_SVM_i10000_f50,121.0,96.6,12.0,35.03,2016-09-08 19:40:16
aws.m3.large_fit_SVM_i10000_f50,121.0,100.3,12.0,35.28,2016-09-08 19:40:16
aws.m3.large_fit_SVM_i10000_f50,121.0,96.4,12.0,35.52,2016-09-08 19:40:16
aws.m3.large_fit_SVM_i10000_f50,121.0,100.5,12.0,35.77,2016-09-08 19:40:16
aws.m3.large_fit_SVM_i10000_f50,121.0,92.1,12.0,36.0,2016-09-08 19:40:17
aws.m3.large_fit_SVM_i10000_f50,121.0,100.4,12.0,36.24,2016-09-08 19:40:17
aws.m3.large_fit_SVM_i10000_f50,121.0,96.5,12.0,36.49,2016-09-08 19:40:17
aws.m3.large_fit_SVM_i10000_f50,121.0,96.5,12.0,36.73,2016-09-08 19:40:17
