testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_SpectralClustering_i20000_f20,0.0,0.0,0.0,0.0,2016-09-08 21:08:41
aws.m3.large_fit_SpectralClustering_i20000_f20,21.0,0.0,0.0,0.13,2016-09-08 21:08:41
aws.m3.large_fit_SpectralClustering_i20000_f20,43.0,98.7,0.0,0.31,2016-09-08 21:08:41
aws.m3.large_fit_SpectralClustering_i20000_f20,54.0,87.3,0.0,0.49,2016-09-08 21:08:42
aws.m3.large_fit_SpectralClustering_i20000_f20,61.0,20.0,0.0,0.52,2016-09-08 21:08:42
aws.m3.large_fit_SpectralClustering_i20000_f20,88.0,68.3,4.0,0.64,2016-09-08 21:08:42
aws.m3.large_fit_SpectralClustering_i20000_f20,136.0,95.0,4.0,0.8,2016-09-08 21:08:42
aws.m3.large_fit_SpectralClustering_i20000_f20,176.0,99.5,4.0,0.98,2016-09-08 21:08:43
aws.m3.large_fit_SpectralClustering_i20000_f20,193.0,98.8,4.0,1.09,2016-09-08 21:08:43
aws.m3.large_fit_SpectralClustering_i20000_f20,228.0,96.1,4.0,1.29,2016-09-08 21:08:43
aws.m3.large_fit_SpectralClustering_i20000_f20,228.0,100.0,4.0,1.54,2016-09-08 21:08:43
aws.m3.large_fit_SpectralClustering_i20000_f20,257.0,91.7,4.0,1.75,2016-09-08 21:08:44
aws.m3.large_fit_SpectralClustering_i20000_f20,259.0,100.0,4.0,1.99,2016-09-08 21:08:44
aws.m3.large_fit_SpectralClustering_i20000_f20,259.0,96.3,4.0,2.23,2016-09-08 21:08:44
aws.m3.large_fit_SpectralClustering_i20000_f20,168.0,97.8,4.0,2.46,2016-09-08 21:08:44
aws.m3.large_fit_SpectralClustering_i20000_f20,148.0,36.1,4.0,2.54,2016-09-08 21:08:45
