testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_StandardScaler_i10000_f10,0.0,0.0,0.0,0.0,2016-09-09 02:52:39
aws.m3.large_fit_StandardScaler_i10000_f10,21.0,0.0,0.0,0.12,2016-09-09 02:52:39
aws.m3.large_fit_StandardScaler_i10000_f10,41.0,98.5,4.0,0.3,2016-09-09 02:52:39
aws.m3.large_fit_StandardScaler_i10000_f10,58.0,94.8,4.0,0.5,2016-09-09 02:52:39
aws.m3.large_fit_StandardScaler_i10000_f10,77.0,52.3,8.0,0.56,2016-09-09 02:52:40
aws.m3.large_fit_StandardScaler_i10000_f10,109.0,91.8,8.0,0.73,2016-09-09 02:52:40
aws.m3.large_fit_StandardScaler_i10000_f10,112.0,100.2,8.0,0.97,2016-09-09 02:52:40
aws.m3.large_fit_StandardScaler_i10000_f10,99.0,38.5,16.0,1.04,2016-09-09 02:52:40
aws.m3.large_fit_StandardScaler_i10000_f10,99.0,0.0,16.0,1.04,2016-09-09 02:52:41
aws.m3.large_fit_StandardScaler_i10000_f10,99.0,0.0,16.0,1.04,2016-09-09 02:52:41
aws.m3.large_fit_StandardScaler_i10000_f10,0.0,0.0,0.0,0.0,2016-09-09 02:52:41
