testname,mem_mb,cpu_percent,disk_write_kb,cpu_usr_time,time
aws.m3.large_fit_TFIDF_i200000_f50,0.0,0.0,0.0,0.0,2016-09-09 03:17:14
aws.m3.large_fit_TFIDF_i200000_f50,21.0,0.0,0.0,0.11,2016-09-09 03:17:14
aws.m3.large_fit_TFIDF_i200000_f50,42.0,97.7,0.0,0.29,2016-09-09 03:17:15
aws.m3.large_fit_TFIDF_i200000_f50,55.0,97.5,0.0,0.48,2016-09-09 03:17:15
aws.m3.large_fit_TFIDF_i200000_f50,61.0,15.0,4.0,0.51,2016-09-09 03:17:15
aws.m3.large_fit_TFIDF_i200000_f50,61.0,0.0,4.0,0.51,2016-09-09 03:17:15
aws.m3.large_fit_TFIDF_i200000_f50,61.0,0.0,4.0,0.51,2016-09-09 03:17:16
aws.m3.large_fit_TFIDF_i200000_f50,75.0,41.9,4.0,0.57,2016-09-09 03:17:16
aws.m3.large_fit_TFIDF_i200000_f50,74.0,19.4,4.0,0.6,2016-09-09 03:17:16
aws.m3.large_fit_TFIDF_i200000_f50,100.0,92.9,4.0,0.78,2016-09-09 03:17:16
aws.m3.large_fit_TFIDF_i200000_f50,100.0,90.4,4.0,1.03,2016-09-09 03:17:17
aws.m3.large_fit_TFIDF_i200000_f50,100.0,100.1,4.0,1.28,2016-09-09 03:17:17
aws.m3.large_fit_TFIDF_i200000_f50,101.0,96.6,4.0,1.54,2016-09-09 03:17:17
aws.m3.large_fit_TFIDF_i200000_f50,102.0,100.3,4.0,1.79,2016-09-09 03:17:17
aws.m3.large_fit_TFIDF_i200000_f50,103.0,98.0,4.0,2.05,2016-09-09 03:17:18
aws.m3.large_fit_TFIDF_i200000_f50,103.0,100.1,4.0,2.31,2016-09-09 03:17:18
aws.m3.large_fit_TFIDF_i200000_f50,104.0,100.2,4.0,2.57,2016-09-09 03:17:18
aws.m3.large_fit_TFIDF_i200000_f50,108.0,96.5,4.0,2.82,2016-09-09 03:17:18
aws.m3.large_fit_TFIDF_i200000_f50,108.0,96.9,4.0,3.06,2016-09-09 03:17:19
aws.m3.large_fit_TFIDF_i200000_f50,109.0,100.2,4.0,3.32,2016-09-09 03:17:19
aws.m3.large_fit_TFIDF_i200000_f50,121.0,94.7,4.0,3.52,2016-09-09 03:17:19
aws.m3.large_fit_TFIDF_i200000_f50,107.0,104.0,4.0,3.76,2016-09-09 03:17:19
aws.m3.large_fit_TFIDF_i200000_f50,107.0,92.8,4.0,4.0,2016-09-09 03:17:20
aws.m3.large_fit_TFIDF_i200000_f50,107.0,100.1,4.0,4.26,2016-09-09 03:17:20
aws.m3.large_fit_TFIDF_i200000_f50,107.0,96.7,4.0,4.51,2016-09-09 03:17:20
aws.m3.large_fit_TFIDF_i200000_f50,107.0,100.0,4.0,4.77,2016-09-09 03:17:21
aws.m3.large_fit_TFIDF_i200000_f50,107.0,92.6,4.0,5.01,2016-09-09 03:17:21
