command,algo,testname,num_features,num_inputs,mlspl_query,result_count,result_message,disk_write(kb),cpu_percent(%),command_time(sec),cpu_time(sec),memory(mb),run_time(sec)
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500_f10,10,500,| inputlookup cover_500.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t500_f10,500,Good Job,8.0,93.9,0.394,0.59,65.0,1.174
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i1000_f10,10,1000,| inputlookup cover_1000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t1000_f10,1000,Good Job,12.0,98.5,0.341,0.62,67.0,1.125
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i2000_f10,10,2000,| inputlookup cover_2000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t2000_f10,2000,Good Job,12.0,98.1,0.426,0.65,72.0,1.234
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i5000_f10,10,5000,| inputlookup cover_5000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t5000_f10,5000,Good Job,16.0,98.5,0.74,0.76,88.0,1.605
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i10000_f10,10,10000,| inputlookup cover_10000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t10000_f10,10000,Good Job,16.0,99.6,1.231,0.99,107.0,2.197
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i20000_f10,10,20000,| inputlookup cover_20000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t20000_f10,20000,Good Job,24.0,102.2,2.204,1.44,149.0,3.352
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i50000_f10,10,50000,| inputlookup cover_50000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t50000_f10,50000,Good Job,12.0,102.7,5.192,2.65,285.0,6.82
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i100000_f10,10,100000,| inputlookup cover_100000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t100000_f10,100000,Good Job,28.0,103.1,14.041,4.69,462.0,20.379
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i200000_f10,10,200000,| inputlookup cover_200000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t200000_f10,100000,Good Job,36.0,103.1,18.183,5.67,471.0,26.658
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i500000_f10,10,500000,| inputlookup cover_500000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t500000_f10,100000,Good Job,60.0,103.9,28.73,8.24,473.0,44.063
fit,LinearRegression,aws.m3.large_fit_LinearRegression_i1000000_f10,10,1000000,| inputlookup cover_1000000.csv | fit LinearRegression "Elevation" from Elevation Aspect Slope Horizontal_Distance_To_Hydrology Vertical_Distance_To_Hydrology Horizontal_Distance_To_Roadways Hillshade_9am Hillshade_Noon Hillshade_3pm Horizontal_Distance_To_Fire_Points into model_LinearRegression_t1000000_f10,100000,Good Job,60.0,103.1,45.518,12.31,540.0,72.166
